gse	year	oa	doi	src	taxon	title
GSE246112	2024	Y	10.1038/s41531-023-00620-y	lit		Transcriptomic profiling of early synucleinopathy in rats induced with preformed fibrils.
GSE264525	2024	Y	10.1186/s12974-024-03210-8	lit		Suppression of the JAK/STAT pathway inhibits neuroinflammation in the line 61-PFF mouse model of Parkinson's disease.
GSE255191	2024	N	10.1016/j.molcel.2024.08.032	lit		Alternative translation initiation produces synaptic organizer proteoforms with distinct localization and functions.
GSE208197	2023	N	10.1038/s41594-023-01035-2	geo	synthetic construct; Homo sapiens	pre-mRNA splicing order is defined and maintains splicing fidelity across multi-intronic transcripts [I]
GSE191144	2023	N	10.1016/j.chembiol.2023.05.004	geo	Homo sapiens	Investigating the NRAS 5’ UTR as a Target for Small Molecules
GSE226865	2023	Y	10.1073/pnas.2217053120	geo+lit	dengue virus type 1; dengue virus type 3; dengue virus type 	Structure-first identification of RNA elements that regulate dengue virus genome architecture and replication
GSE221996	2023	Y	10.26508/lsa.202201779	geo	synthetic construct	The SHAPE-MaP experiment to identify RNA structures of pri-mir-142 variants
GSE196625	2023	N	10.1038/s41586-023-05767-5	geo	Homo sapiens	URB1 ensures 3' end processing of pre-rRNAs to prevent exosome-dependent degradation and is required for development [SH
GSE226783	2023	N	10.1016/j.cell.2023.05.032	geo+lit	Bombyx mori	RNA secondary structome of different retrotransposons with DNA/protein binding
GSE225730	2023	Y	10.1126/sciadv.adh5152	geo	synthetic construct; Escherichia coli	tRNA structure-seq in peptide-rich droplets
GSE200171	2023	Y	10.1016/j.isci.2023.106846	geo	Oryza sativa	Chemo- versus immuno-precipitation of G-quadruplex-DNA (G4- DNA): a direct comparison of the efficiency of the antibody 
GSE233607	2023	Y	10.1093/nar/gkad807	geo+lit	Escherichia coli str. K-12 substr. MG1655	In vivo-like nearest neighbor parameters accurately predict fractional RNA base-pairing in cells
GSE235169	2023	Y	10.3390/cancers15051582	lit		Discovering Synergistic Compounds with BYL-719 in PI3K Overactivated Basal-like PDXs.
GSE235168	2023	Y	10.3390/cancers15051582	lit		Discovering Synergistic Compounds with BYL-719 in PI3K Overactivated Basal-like PDXs.
GSE235167	2023	Y	10.3390/cancers15051582	lit		Discovering Synergistic Compounds with BYL-719 in PI3K Overactivated Basal-like PDXs.
GSE206308	2023	N	10.1007/s00702-023-02604-x	lit		Genes critical for development and differentiation of dopaminergic neurons are downregulated in Parkinson's disease.
GSE204861	2023	N	10.1093/jas/skac365	lit		Exploring differentially expressed genes in hypothalamic, pars tuberalis and pineal gland transcriptomes in different sexual behav
GSE210296	2022	Y	10.1126/sciadv.adc9785	geo	Oryza sativa Japonica Group	High-temperature adaptation of an OsNRT2.3 allele is thermoregulated by small RNAs
GSE202785	2022	Y	10.1093/nar/gkac636	geo	Human adenovirus 2	[SHAPE-MaP_10_mM] U1 snRNP regulates recruitment of early spliceosomal components by disrupting SRSF1-pre-mRNA interacti
GSE188649	2022	Y	10.1093/nar/gkac636	geo	Human adenovirus 2	[SHAPE-MaP_4_mM] U1 snRNP regulates recruitment of early spliceosomal components by disrupting SRSF1-pre-mRNA interactio
GSE163112	2022	Y	10.1038/s41467-022-29934-w	geo	Mus musculus	Enhancer RNAs make multivalent interactions with NELF to stimulate Pol II pause release [SHAPE]
GSE189259	2022	Y	10.1038/s41467-022-29398-y	geo+lit	Severe acute respiratory syndrome coronavirus 2; Severe acut	SHAPE-guided RNA structure homology search and motif discovery
GSE174217	2022	Y	10.1016/j.celrep.2022.110361	geo	Mus musculus	Distinct MUNC lncRNA structural domains regulate transcription of different promyogenic factors [SHAPE-MaP]
GSE190787	2022	Y	10.1038/s41467-022-28295-8	geo	Homo sapiens	A disease-linked lncRNA mutation in RNase MRP inhibits ribosome synthesis [RMRP_SHAPE]
GSE171021	2022	Y	10.1038/s41467-022-28295-8	geo	Homo sapiens; Saccharomyces cerevisiae	A disease-linked lncRNA mutation in RNase MRP inhibits ribosome synthesis
GSE210478	2022	Y	10.1093/nargab/lqac082	geo+lit	Homo sapiens	DMS probing of and sequencing of the EBV infected BJAB-B1 transcriptome
GSE182552	2022	N	10.1016/j.molcel.2022.02.009	geo+lit	Vibrio vulnificus	DANCE-MaP probing of the adenine riboswitch
GSE169755	2022	Y	10.1007/s10571-021-01146-8	lit		Multiomic Analyses of Dopaminergic Neurons Isolated from Human Substantia Nigra in Parkinson's Disease: A Descriptive and Explorat
GSE183941	2022	N	10.1016/j.molcel.2021.11.019	lit		RNA circles with minimized immunogenicity as potent PKR inhibitors.
GSE172446	2022	Y	10.1080/15476286.2022.2025680	lit		Flexible pri-miRNA structures enable tunable production of 5' isomiRs.
GSE108893	2022	Y	10.1080/15476286.2022.2025680	lit		Flexible pri-miRNA structures enable tunable production of 5' isomiRs.
GSE149204	2022	Y	10.1016/j.molcel.2022.09.036	lit		Alternative cleavage and polyadenylation generates downstream uncapped RNA isoforms with translation potential.
GSE171581	2022	Y	10.3389/fcell.2022.1078927	lit		A region-dependent allele-biased expression of Dopa decarboxylase in mouse brain.
GSE160161	2021	N	10.1073/pnas.2101164118	geo+lit	Saccharomyces cerevisiae	Using DMS-MaPseq to dissect structural differences of ribosomal RNA in different pre-40S intermediates
GSE147506	2021	N	10.1016/j.molcel.2021.01.034	geo	Homo sapiens; synthetic construct	Key role of dysregulated SF3A3 translation in MYC-induced breast tumorigenesis
GSE147504	2021	N	10.1016/j.molcel.2021.01.034	geo	Homo sapiens; synthetic construct	Targeted DMS probing of SF3A3 5' UTR
GSE168393	2021	Y	10.1261/rna.078747.121	geo+lit	Bacillus subtilis subsp. subtilis str. 168	Translational activation by an alternative sigma factor in Bacillus subtilis
GSE183927	2021	N	10.1007/s11427-021-1993-6	geo	Homo sapiens	ANKRD52_SHAPE-MaP
GSE159719	2021	Y	10.1261/rna.077263.120	geo+lit	Mus musculus	RNA structure probing to characterize RNA-protein interations on a low abundance pre-mRNA in living cells
GSE173177	2021	Y	10.1093/nar/gkab533	geo	Human adenovirus 2	Discovery of pre-mRNA structural scaffold as a contributor to mammalian splicing code [In Vivo]
GSE173175	2021	Y	10.1093/nar/gkab533	geo	Human adenovirus 2	Discovery of a pre-mRNA structural scaffold as a contributor to the mammalian splicing code [in vitro]
GSE174140	2021	N	10.1126/science.abf6582	geo	Homo sapiens	lncRNA SLERT controls phase separation of FC/DFCs to facilitate Pol I transcription
GSE163494	2021	N	10.1038/s41586-021-03589-x	geo	synthetic construct	Shape of promoter antisense RNAs regulates ligand-induced transcription activation [Shape-Map]
GSE154563	2021	Y	10.1093/nar/gkaa1255	geo+lit	Escherichia coli; Bacillus subtilis; Homo sapiens	SHAPE analysis of RNA structure in living cells with unprecedented accuracy
GSE236224	2021	N	10.1016/j.molcel.2021.09.027	geo+lit	Homo sapiens	Genome-wide RNA structure changes during human neurogenesis modulate gene regulatory networks
GSE148202	2021	N	10.1038/s41556-021-00709-7	geo	Homo sapiens	ALKBH7-mediated demethylation regulates mitochondrial  polycistronic RNA processing
GSE149018	2021	N	10.1016/j.molcel.2021.01.040	geo	Homo sapiens	Alternative RNA Stuctures Formed During Transcription Depend on Elongation Rate and Modify RNA processing
GSE152483	2021	Y	10.1038/s41587-020-0709-7	lit		Analysis of RNA-protein networks with RNP-MaP defines functional hubs on RNA.
GSE149493	2021	Y	10.1038/s41467-021-22552-y	lit		Optimized photochemistry enables efficient analysis of dynamic RNA structuromes and interactomes in genetic and infectious disease
GSE097486	2021	Y	10.1016/j.xpro.2021.100477	lit		Analysis of RNA conformation in endogenously assembled RNPs by icSHAPE.
GSE153303	2021	Y	10.1038/s41467-021-22549-7	lit		Conserved long-range base pairings are associated with pre-mRNA processing of human genes.
GSE169020	2021	N	10.1016/j.celrep.2021.110015	lit		MapToCleave: High-throughput profiling of microRNA biogenesis in living cells.
GSE153369	2021	N	10.1002/glia.23890	lit		Phagocytosis-related NADPH oxidase 2 subunit gp91phox contributes to neurodegeneration after repeated systemic challenge with lipo
GSE164760	2021	N	10.1016/j.jhep.2021.04.049	lit		Molecular characterisation of hepatocellular carcinoma in patients with non-alcoholic steatohepatitis.
GSE162379	2021	Y	10.1371/journal.pone.0249215	lit		Slowpoke functions in circadian output cells to regulate rest:activity rhythms.
GSE162971	2021	Y	10.1016/j.celrep.2021.109407	lit		Alternative 3' UTRs play a widespread role in translation-independent mRNA association with the endoplasmic reticulum.
GSE115232	2021	Y	10.1016/j.celrep.2021.109407	lit		Alternative 3' UTRs play a widespread role in translation-independent mRNA association with the endoplasmic reticulum.
GSE163176	2021	N	10.1096/fj.202100408rr	lit		Pentraxin 3 secreted by human adipose-derived stem cells promotes dopaminergic neuron repair in Parkinson's disease via the inhibi
GSE115159	2020	N	10.15252/embj.2019103365	geo	Saccharomyces cerevisiae	Regulation of Translation Elongation Revealed by Ribosome Profiling [Dataset_2]
GSE115158	2020	N	10.15252/embj.2019103365	geo	Saccharomyces cerevisiae	Regulation of Translation Elongation Revealed by Ribosome Profiling [Dataset_1]
GSE162569	2020	Y	10.1016/j.molcel.2020.11.041	geo+lit	Severe acute respiratory syndrome coronavirus 2	Genomic RNA elements drive phase separation of the SARS-CoV-2 nucleocapsid
GSE156312	2020	N	10.1021/acschembio.0c00357	geo	Homo sapiens; Synthetic plasmid	PEARL-seq: A Photoaffinity Platform for the Analysis of Small Molecule-RNA Interactions
GSE143496	2020	N	10.1016/j.cell.2020.03.006	geo	Homo sapiens; Mus musculus	Species-specific processing of long noncoding RNAs contributes to non-conserved functions in human and mouse stem cells
GSE140048	2020	N	10.1016/j.celrep.2019.12.011	geo+lit	Homo sapiens	SHAPE and DMS probing of SLNCR1 lncRNA conserved region 403-780
GSE149767	2020	N	10.1016/j.molcel.2020.11.014	geo+lit	Homo sapiens	Footprinting SHAPE-eCLIP reveals transcriptome-wide hydrogen bonds at RNA-protein interfaces
GSE146407	2020	Y	10.1093/nar/gkaa598	geo+lit	Homo sapiens	In vivo structure analysis of SINEUP RNA
GSE124866	2020	Y	10.1261/rna.072850.119	geo+lit	Arabidopsis thaliana	Tissue-specific structurome changes in the RNA structurome mediate salt salinity response in Arabidopsis
GSE118387	2020	Y	10.1016/j.celrep.2020.03.006	geo+lit	Listeria monocytogenes EGD-e	Comparison of 5' UTR structures in Listeria monocytogenes
GSE148936	2020	Y	10.1261/rna.075986.120	geo+lit	Bacillus subtilis	Structure-seq2 probing of RNA structure upon amino acid starvation reveals both known and novel RNA switches in Bacillus
GSE140649	2020	Y	10.1093/nar/gkaa404	lit		Lead-seq: transcriptome-wide structure probing in vivo using lead(II) ions.
GSE122528	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE122526	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE122525	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE116334	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE116333	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE116332	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE108852	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE108767	2020	Y	10.1073/pnas.2003733117	lit		mRNA adenosine methylase (MTA) deposits m<sup>6</sup>A on pri-miRNAs to modulate miRNA biogenesis in <i>Arabidopsis thaliana</i>.
GSE149061	2020	N	10.1021/acs.biochem.0c00020	lit		Anomalous Reverse Transcription through Chemical Modifications in Polyadenosine Stretches.
GSE166024	2020	Y	10.1002/ana.25719	lit		Human-Specific Transcriptome of Ventral and Dorsal Midbrain Dopamine Neurons.
GSE139176	2019	Y	10.1073/pnas.1908052116	geo	synthetic construct	mRNA structure regulates protein expression through changes in functional half-life
GSE122199	2019	Y	10.1101/gad.322776.118	geo	Schmidtea mediterranea	Planarians recruit piRNAs for mRNA turnover in adult stem cells
GSE126195	2019	N	10.1016/j.cell.2019.03.046	geo	Homo sapiens	Structure of examined circular RNAs and some of their linear cognate RNAs
GSE122967	2019	N	10.1016/j.cell.2019.03.046	geo	Homo sapiens	Structure and degradation of circular RNAs regulate PKR activation in innate immunity
GSE119006	2019	Y	10.1186/s13059-019-1880-3	geo	Mus musculus; Homo sapiens	Functional classification of chromatin associated lncRNAs via histone modification specific PIRCh-seq analysis
GSE134865	2019	Y	10.1186/s13059-019-1901-2	geo+lit	Homo sapiens	Transcriptome-wide analysis of RNA structure in MCF7 cells with and without inhibition of eIF4A by hippuristanol treatme
GSE135211	2019	N	10.1073/pnas.1905491116	geo+lit	Escherichia coli; Vibrio vulnificus; Homo sapiens	PAIR-MaP visualizes RNA base pairing complexity in human and bacterial non-coding RNAs
GSE118309	2019	Y	10.1261/rna.067561.118	geo+lit	Homo sapiens; Mus musculus	Carbodiimide reagents for the chemical probing of RNA structure in cells
GSE113529	2019	Y	10.1093/nar/gky1172	geo+lit	Homo sapiens; Saccharomyces cerevisiae; Escherichia coli	Assaying RNA Structure with LASER-seq
GSE121927	2019	Y	10.1093/nar/gkz736	lit		Detection of internal N7-methylguanosine (m7G) RNA modifications by mutational profiling sequencing.
GSE134888	2019	Y	10.1186/s13059-019-1901-2	lit		mRNA structural elements immediately upstream of the start codon dictate dependence upon eIF4A helicase activity.
GSE121120	2019	Y	10.3389/fnmol.2019.00062	lit		<i>Lmx1b</i> Influences Correct Post-mitotic Coding of Mesodiencephalic Dopaminergic Neurons.
GSE111962	2018	Y	10.1093/nar/gky486	geo+lit	Escherichia coli	RNA Framework: an all-in-one toolkit for the analysis of RNA structures and post-transcriptional modifications
GSE108857	2018	N	10.1038/s41586-018-0135-x	geo	Arabidopsis thaliana	SWI/SNF subunit CHR2 remodels pri-miRNAs via microprocessor component SE to inhibit miRNA production DMS-MaPseq)
GSE103421	2018	N	10.1016/j.molcel.2018.02.035	geo	Escherichia coli; Escherichia coli str. K-12 substr. MG1655	A stress response that monitors and regulates mRNA structure is central to cold-shock adaptation
GSE97486	2018	N	10.1016/j.cell.2018.04.039	geo	Homo sapiens	Human telomerase requires TCAB1 for catalytic function and for shaping RNA component conformation
GSE110516	2018	N	10.1016/j.cell.2018.03.080	geo	Homo sapiens	secondary structure based on icSHAPE of pre-let-7 and hDicer-TRBP  bound pre-let-7
GSE102216	2018	Y	10.1073/pnas.1807988115	geo+lit	Oryza sativa	Ribosome profiling analysis of heat effect on rice
GSE100713	2018	Y	10.1073/pnas.1807988115	geo+lit	Oryza sativa	Genome-wide analysis of heat effect on rice transcriptome by RNA-seq
GSE102069	2018	N	10.1016/j.molcel.2018.09.003	geo	Homo sapiens	Unraveling cis-regulatory elements by mapping structural changes in mRNAs
GSE105112	2018	Y	10.1016/j.celrep.2018.08.093	geo	Escherichia coli	Structural characterization of ribosome variants
GSE100714	2018	Y	10.1073/pnas.1807988115	geo+lit	Oryza sativa	Rice RNA secondary structurome under heat stress
GSE115442	2018	Y	10.1101/gad.316034.118	geo+lit	Homo sapiens	Coordinate regulation of alternative pre-mRNA splicing events by the human RNA chaperone proteins hnRNPA1 and DDX5
GSE090056	2018	N	10.1074/jbc.ra117.000284	lit		Translation efficiency is maintained at elevated temperature in <i>Escherichia coli</i>.
GSE100715	2018	Y	10.1073/pnas.1807988115	lit		Genome-wide RNA structurome reprogramming by acute heat shock globally regulates mRNA abundance.
GSE110411	2018	Y	10.1093/nar/gky770	lit		High-affinity RNA targets of the Survival Motor Neuron protein reveal diverse preferences for sequence and structural motifs.
GSE109652	2018	Y	10.1101/gad.310896.117	lit		Transcription elongation rate affects nascent histone pre-mRNA folding and 3' end processing.
GSE106868	2018	Y	10.1093/nar/gky036	lit		Maturation of the 90S pre-ribosome requires Mrd1 dependent U3 snoRNA and 35S pre-rRNA structural rearrangements.
GSE97609	2017	N	10.1021/acs.biochem.7b00323	geo	Mus musculus	Interpreting reverse transcriptase termination and mutation events for greater insight into the chemical probing of RNA
GSE92973	2017	N	10.1016/j.celrep.2017.09.035	geo	Saccharomyces cerevisiae	DMS-seq for in vivo genome-wide mapping of protein–DNA interactions and nucleosome centers
GSE95567	2017	Y	10.1093/nar/gkx617	geo	Escherichia coli	In vivo probing of nascent RNA structures reveals principles of cotranscriptional folding
GSE95597	2017	Y	10.1126/sciadv.1602505	geo	Homo sapiens	The long noncoding RNA SPRIGHTLY acts as an intra-nuclear organizing hub for pre-mRNA molecules.
GSE85619	2017	N	10.1016/j.chembiol.2017.04.006	geo	Saccharomyces cerevisiae	Inhibition of eukaryotic translation by the antitumor natural product Agelastatin A
GSE83821	2017	Y	10.1038/s41467-017-00761-8	geo	Saccharomyces cerevisiae	High-throughput RNA structure probing reveals critical folding events during early 60S ribosome assembly in yeast.
GSE78208	2017	N	10.1038/nmeth.4068	geo	Saccharomyces cerevisiae	robust statistical modeling improves sensitivity of high-throughput rnA structure probing experiments
GSE083821	2017	Y	10.1038/s41467-017-00761-8	lit		High-throughput RNA structure probing reveals critical folding events during early 60S ribosome assembly in yeast.
GSE097609	2017	N	10.1021/acs.biochem.7b00323	lit		Interpreting Reverse Transcriptase Termination and Mutation Events for Greater Insight into the Chemical Probing of RNA.
GSE087214	2017	Y	10.1101/gr.208652.116	lit		The identification and functional annotation of RNA structures conserved in vertebrates.
GSE078208	2017	N	10.1038/nmeth.4068	lit		Robust statistical modeling improves sensitivity of high-throughput RNA structure probing experiments.
GSE100210	2017	Y	10.1038/s41467-017-01458-8	lit		RNA editing by ADAR1 leads to context-dependent transcriptome-wide changes in RNA secondary structure.
GSE095597	2017	Y	10.1126/sciadv.1602505	lit		The long noncoding RNA <i>SPRIGHTLY</i> acts as an intranuclear organizing hub for pre-mRNA molecules.
GSE069887	2017	Y	10.1038/nsmb.3432	lit		PAR-TERRA directs homologous sex chromosome pairing.
GSE094748	2017	Y	10.1128/mbio.00730-17	lit		RIP-Seq Suggests Translational Regulation by L7Ae in <i>Archaea</i>.
GSE078156	2017	Y	10.1186/s13058-017-0802-0	lit		Insulin-like growth factor 1 receptor activation promotes mammary gland tumor development by increasing glycolysis and promoting b
