gse	year	oa	src	n_runs	probe_hits	signal	doi	title	sample_titles
GSE248679	2025	N	geo	22	17	STRONG	10.1038/s41587-024-02204-4	circSHAPE-MaP of EPIC	EPIC-LNP DMSO | EPIC-LNP DC | EPIC-LNP NAI,repeat1 | EPIC-Cy5 DMSO | EPIC-Cy5 DC | EPIC-Cy5 NAI,repeat1 | EPIC-3 DMSO | EPIC-3 NAI,repeat2 | EPIC-2 DMSO | EPIC-PKR NAI,repeat2 | EPIC-LNP NAI,repeat2 | EPIC-Cy5 NAI,repeat2 | EPIC-3 DC | EPIC-3 NAI,repeat1 | EPIC-2 DC | EPIC-2 NAI,repeat2 | EPIC-2 NAI,repeat1 | EPIC-1 DMSO | EPIC-1 NAI,repeat 2 | EPIC-PKR NAI,repeat1 | EPIC-1 DC | EPIC-1 NAI,repeat 1
GSE246246	2025	Y	geo	6	6	STRONG	10.1093/nar/gkaf310	NicOPURE: Nickless RNA Circularization and One-Step Purification with Engineered Group II Introns and Cyclizing UTRs	Group2_Denature | Group2_NAI | Group1_NAI | Group2_DMSO | Group1_Denature | Group1_DMSO
GSE264057	2025	Y	geo	9	3	STRONG	10.1261/rna.080310.124	Cellular translational enhancer elements that recruit eukaryotic initiation factor 3	3plus | 2plus | 2denatured | 1plus | 1denatured | 3minus | 3denatured | 2minus | 1minus
GSE252404	2025	Y	geo	0	0	NONE	10.1016/j.celrep.2024.115174	DDX50 cooperates with STAU1 to effect stabilization of pro-differentiation RNAs [DMS-Seq]	
GSE279023	2025	N	geo	4	4	STRONG	10.1038/s41556-024-01604-7	Functional screen for mediators of onco-mRNA translation specificity [II]	Panc1 JUN 5UTR DMS bio rep 2 | Panc1 JUN 5UTR DMS bio rep 1 | Panc1 EGFR 5UTR DMS bio rep 2 | Panc1 EGFR 5UTR DMS bio rep 1
GSE255740	2025	N	geo	6	6	STRONG	10.1038/s41556-024-01604-7	Functional screen for mediators of onco-mRNA translation specificity [DMS-seq]	Panc1 shRBM42-2 MYC 5UTR DMS bio rep 2 | Panc1 shRBM42-2 MYC 5UTR DMS bio rep 1 | Panc1 shRBM42-1 MYC 5UTR DMS bio rep 2 | Panc1 shSCR MYC 5UTR DMS bio rep 2 | Panc1 shRBM42-1 MYC 5UTR DMS bio rep 1 | Panc1 shSCR MYC 5UTR DMS bio rep 1
GSE255703	2025	N	geo	2	0	NONE	10.1038/s41556-024-01604-7	Functional screen for mediators of onco-mRNA translation specificity [CLIP-seq]	RBM42 Cytoplasmic CLIP bio rep 2 | RBM42 Cytoplasmic CLIP bio rep 1
GSE255702	2025	N	geo	18	0	NONE	10.1038/s41556-024-01604-7	Functional screen for mediators of onco-mRNA translation specificity [polysome-seq]	Panc1 shRBM42 Poly RNA 11-14 bio rep 3 | Panc1 shRBM42 Poly RNA 7-10 bio rep 2 | Panc1 shRBM42 Poly RNA 3-6 bio rep 2 | Panc1 shRBM42 Poly RNA 7-10 bio rep 1 | Panc1 shSCR Poly RNA 7-10 bio rep 2 | Panc1 shSCR Poly RNA 3-6 bio rep 2 | Panc1 shRBM42 Poly RNA 3-6 bio rep 3 | Panc1 shSCR Poly RNA 7-10 bio rep 3 | Panc1 shSCR Poly RNA 3-6 bio rep 3 | Panc1 shSCR Poly RNA 3-6 bio rep 1 | Panc1 shRBM42 Poly RNA 7-10 bio rep 3 | Panc1 shRBM42 Poly RNA 11-14 bio rep 2 | Panc1 shRBM42 Poly RNA 11-14 bio rep 1 | Panc1 shRBM42 Poly RNA 3-6 bio rep 1 | Panc1 shSCR Poly RNA 11-14 bio rep 3 | Panc1 shSCR Po
GSE255533	2025	N	geo	6	0	NONE	10.1038/s41556-024-01604-7	Functional screen for mediators of onco-mRNA translation specificity	Panc1 shRBM42-1 total RNA bio rep 2 | Panc1 shRBM42-1 total RNA bio rep 1 | Panc1 shSCR total RNA bio rep 3 | Panc1 shRBM42-1 total RNA bio rep 3 | Panc1 shSCR total RNA bio rep 2 | Panc1 shSCR total RNA bio rep 1
GSE188445	2025	Y	geo	47	15	STRONG	10.1038/s41594-024-01393-5	Structural features within the NORAD long noncoding RNA underlie efficient repression of Pumilio activity	NORAD Doxocyclin Control replicate2 | NORAD Doxocyclin Control replicate1 | NORAD Arsenite Control replicate2 | NORAD Arsenite Control replicate1 | NORAD Control replicate3 | NORAD Control replicate3 | NORAD Control replicate1 | NORAD Arsenite replicate2 | NORAD Doxocyclin replicate1 | NORAD Arsenite replicate1 | NORAD Arsenite replicate1 | NORAD replicate3 | NORAD replicate1 | alt. sequence2, amplicon A (DMS-seq) | Full NORAD OE, amplicon A (DMS-seq) | mini-NORAD7/8, rep2, amplicon B (DMS-seq) | mini-NORAD7/8, rep1, amplicon B (DMS-seq) | control, amplicon A (DMS-seq) | NORAD Doxocyclin Contr
GSE255784	2025	N	geo	46	4	STRONG	10.1016/j.molcel.2025.01.017	The integrated stress response finetunes 18S nonfunctional rRNA decay	TMS2N-R1-Treated | TMS2N-R1-Untreated | TMS2N-R2-Treated | MS2N-R2-Treated | MS2N-R1-Treated | MS2N-R1-Untreated | etohwtr2 | etohmutr1 | dmswtr2 | DisomeWTNT | 80SWTshGCN2 | WT18SWTIPd1 | gcn2KO18SA1824CIPm2 | gcn2KO18SA1824CIPm1 | WT18SWTIPm2 | h9-R2-Treated | dmswtr1 | DisomeWTshGCN2 | 80SA1824CshGCN2 | 80SA1824CNT | 80SWTNT | gcn2KO18SWTIPm1 | WT18SA1824CIPm2 | WT18SWTIPm1 | gcn2KO18SWTIPd1 | h9-R1-Treated | h9-R2-Untreated | h9-R1-Untreated | TMS2N-R2-Untreated | MS2N-R2-Untreated | etohwtr1 | etohmutr2 | dmsmutr2 | dmsmutr1 | DisomeA1824CshGCN2 | DisomeA1824CNT | WT18SA1824CIPd1 | WT18SW
GSE283338	2025	N	geo	68	34	STRONG	10.1021/acs.biochem.5c00340	Proximity mediated effects of RNA regulatory proteins (mRNA as a proxisome).	NanoLuc mRNA with MS2 stem loop in 3UTR, DMS treatment, Replicate 2, Amplicon 3, with TP expressed | NanoLuc mRNA with MS2 stem loop in 3UTR, control, Replicate 2, Amplicon 3, with TP expressed | NanoLuc mRNA with MS2 stem loop in 3UTR, control, Replicate 1, Amplicon 1 | NanoLuc mRNA with MS2 stem loop in CDS(2), control, Replicate 2, Amplicons 1-3 | NanoLuc mRNA with MS2 stem loop in 3UTR, control, Replicate 1, Amplicon 3, with TP expressed | NanoLuc mRNA with MS2 stem loop in CDS(1), DMS treatment, Replicate 2, Amplicon 1, with TP expressed | NanoLuc mRNA with MS2 stem loop in CDS(1), contro
GSE302009	2025	N	lit	6	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Tkoda, lib745, KO, Bisulfite.Treat, KO2 | Tkoda, lib745, WT, Bisulfite.Treat, WT3 | Tkoda, lib745, WT, Bisulfite.Treat, WT2 | Tkoda, lib745, WT, Bisulfite.Treat, WT1 | Tkoda, lib745, KO, Bisulfite.Treat, KO3 | Tkoda, lib745, KO, Bisulfite.Treat, KO1
GSE302008	2025	N	lit	36	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Tkoda, lib747, Tko35.95deg, Treat, _c_ | Tkoda, lib747, Tko35.95deg, Treat, _b_ | Tkoda, lib747, Tko35.95deg, Treat, _a_ | Tkoda, lib747, Tko35.75deg, Treat, _c_ | Tkoda, lib747, Tko35.75deg, Treat, _a_ | Tkoda, lib747, wt.95deg, Treat, _b_ | Tkoda, lib747, wt.75deg, Input, _c_ | Tkoda, lib747, wt.75deg, Treat, _a_ | Tkoda, lib747, wt.75deg, Input, _a_ | Tkoda, lib747, wt.65deg, Input, _b_ | Tkoda, lib747, wt.95deg, Treat, _c_ | Tkoda, lib747, wt.95deg, Input, _c_ | Tkoda, lib747, wt.95deg, Input, _b_ | Tkoda, lib747, wt.85deg, Treat, _c_ | Tkoda, lib747, wt.85deg, Input, _c_ | Tkoda, lib747, 
GSE302007	2025	N	lit	7	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Tkoda, lib522, 95deg.Treated, NaCNBH3.Treat.Treat, rep1 | Tkoda, lib522, 85deg.Treated, NaCNBH3.Treat.Treat, rep1 | Tkoda, lib522, 75deg.Treated, NaCNBH3.Treat.Treat, rep1 | Tkoda, lib522, 65deg.Control, NaCNBH3.Treat, rep1 | Tkoda, lib522, 65deg.Treated, NaCNBH3.Treat.Treat, rep1 | Tkoda, lib522, 37deg.Treated, NaCNBH3.Treat.Treat, rep1 | Tkoda, lib522, 55deg.Treated, NaCNBH3.Treat.Treat, rep1
GSE302006	2025	N	lit	13	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Scere, lib726, KO.95C.tkMET.75C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.tkMET.105C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.pfuMET.85C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.tkMET.95C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.tkMET.85C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.pfuMET.55C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.pfuMET.75C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.pfuMET.95C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.pfuMET.105C, Bisulfite, TGIRT, rep1 | Scere, lib726, KO.95C.noEnzyme.4C, Bisulfite, TGIRT, rep1 | Scere, lib7
GSE302005	2025	N	lit	6	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Pfuri, lib721, 95C.WT, Bisulfite, TGIRT, rep3 | Pfuri, lib721, 95C.WT, Bisulfite, TGIRT, rep2 | Pfuri, lib721, 95C.WT, Bisulfite, TGIRT, rep1 | Pfuri, lib721, 95C.KO, Bisulfite, TGIRT, rep1 | Pfuri, lib721, 95C.KO, Bisulfite, TGIRT, rep3 | Pfuri, lib721, 95C.KO, Bisulfite, TGIRT, rep2
GSE284594	2025	N	lit	1540	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Bsubt, lib524, control, Bisulfite, TGIRT, rep1 | Bsubt, lib524, control, MocklowdNTPs, SSIII, rep1 | Bsubt, lib524, control, NaCNBH3, SSIII, rep1 | Bsubt, lib524, control, NaHCO3+NaCNBH3, SSIII, rep1 | Bsubt, lib524, control, Mock, SSIII, rep1 | Bsubt, lib524, control, NaBH4HydBiotin, TGIRT, rep1 | Ecoli, lib524, control, Bisulfite+MgCl2+Heat, TGIRT, rep1 | Ecoli, lib524, control, CMC, TGIRT, rep1 | Ecoli, lib524, control, NaHCO3+Heat, TGIRT, rep1 | Ecoli, lib524, control, CMC, SSIII, rep1 | Hsapi, lib697, control, CMC, TGIRT, rep1 | Hsapi, lib697, control, NaHCO3+Heat, SSIII, rep1 | Hsapi, li
GSE284593	2025	N	lit	144	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Tkoda, lib524, 65deg, CMC, SSIII, rep1 | Tkoda, lib524, 95deg, Bisulfite+MgCl2+Heat, TGIRT, rep1 | Tkoda, lib524, 95deg, NaBH4HydBiotin, TGIRT, rep2 | Tkoda, lib524, 85deg, NaHCO3+Heat, TGIRT, rep2 | Tkoda, lib524, 85deg, NaCNBH3, TGIRT, rep2 | Tkoda, lib524, 75deg, NaCNBH3, TGIRT, rep2 | Tkoda, lib524, 65deg, NaCNBH3, TGIRT, rep2 | Tkoda, lib524, 95deg, NaHCO3+Heat, SSIII, rep2 | Tkoda, lib524, 95deg, NaHCO3+Heat, SSIII, rep1 | Tkoda, lib524, 85deg, NaHCO3+Heat, SSIII, rep2 | Tkoda, lib524, 75deg, NaHCO3+Heat, SSIII, rep2 | Tkoda, lib524, 75deg, NaHCO3+Heat, SSIII, rep1 | Tkoda, lib524, 65deg
GSE284592	2025	N	lit	102	0	NONE	10.1016/j.cell.2025.09.014	Pan-modification profiling facilitates a cross-evolutionary dissection of the thermoregulated ribosomal epitranscriptome.	Tacid, lib553, pH2, NaCNBH3, TGIRT, rep2 | Tacid, lib553, pH2, NaHCO3+Heat, SSIII, rep1 | Tacid, lib553, pH1, NaHCO3+Heat, SSIII, rep2 | Tacid, lib553, pH1, NaHCO3+Heat, SSIII, rep1 | Tacid, lib553, pH2, NaHCO3+NaCNBH3, SSIII, rep2 | Tacid, lib553, pH2, NaHCO3+NaCNBH3, SSIII, rep1 | Tacid, lib553, pH1, NaHCO3+NaCNBH3, SSIII, rep2 | Tacid, lib553, pH2, Bisulfite, TGIRT, rep2 | Tacid, lib553, pH3, NaHCO3+Heat, TGIRT, rep1 | Tacid, lib553, pH1, NaCNBH3, TGIRT, rep1 | Tacid, lib553, pH3, MocklowdNTPs, SSIII, rep2 | Tacid, lib553, pH3, MocklowdNTPs, SSIII, rep1 | Tacid, lib553, pH2, MocklowdNTPs, S
GSE286293	2025	Y	lit	41	8	STRONG	10.1021/jacsau.5c01280	A Small Cationic Probe for Accurate, Punctate Discovery of RNA Tertiary Structure.	Group II Intron, 1 Nucleotide Deletion, unmodified | Group II Intron, native, unmodified | Group II Intron, native, DMS modified | RNaseP, U Substitution, TMO modified | RNaseP, native, unmodified | TPP, 1 Nucleotide Deletion, unmodified | TPP, 1 Nucleotide Deletion, TMO modified | TPP, 3 Nucleotide Deletion, unmodified | TPP, 3 Nucleotide Deletion, TMO modified | TPP, native, unmodified | DENV2, Native, Unmodified Rep 2 | Group II Intron, U Substitution, unmodified | Group II Intron, native, TMO modified | RNaseP, Full Riboswitch, unmodified | RNaseP, 1 Nucleotide Deletion, unmodified | RNase
GSE287035	2025	Y	lit	21	0	NONE	10.1016/j.ncrna.2025.05.010	Computational discovery of conserved RNA structures and functional characterization of a structured lncRNA in &lt;i&gt;Leishmania 	Control_WT3 | Control_WT1 | Lb5-2 | Lb5-1 | Input_WT1 | Lb4-3 | Lb4-1 | Lb1-3 | Lb1-1 | Control_WT2 | Input_WT3 | Lb4-2 | Lb3-3 | Lb3-1 | Lb2-3 | Lb3-2 | Input_WT2 | Lb5-3 | Lb2-2 | Lb2-1 | Lb1-2
GSE288523	2025	N	lit	4	0	NONE	10.1073/pnas.2504034122	CAR-SPLASH identifies nascent pre-mRNA structures implicated in kinetic coupling and alternative splicing.	HEK293FlpIN_R749H Rpb1 CAR-SPLASH Rep2 | HEK293FlpIN_R749H Rpb1 CAR-SPLASH Rep1 | HEK293FlpIN_WT Rpb1 CAR-SPLASH Rep1 | HEK293FlpIN_WT Rpb1 CAR-SPLASH Rep2
GSE262542	2025	N	lit	20	0	NONE	10.1261/rna.080215.124	Evaluation of novel computational methods to identify RNA-binding protein footprints from structural data.	SND1_k562_IP_rep1 | SND1_k562_Input_rep2 | SND1_k562_Input_rep1 | PRPF17_HeLa_IP_rep2 | PRPF17_HeLa_Input_rep2 | PRPF17_HeLa_Input_rep1 | PRPF17_Hek293T_Input_rep2 | hnRNPA2B1_HepG2_IP_rep2 | hnRNPC_K562_IP_rep1 | SND1_k562_IP_rep2 | PRPF17_Hek293T_IP_rep1 | hnRNPA2B1_HepG2_IP_rep1 | hnRNPA2B1_HepG2_Input_rep1 | hnRNPC_K562_Input_rep2 | PRPF17_HeLa_IP_rep1 | PRPF17_Hek293T_IP_rep2 | PRPF17_Hek293T_Input_rep1 | hnRNPA2B1_HepG2_Input_rep2 | hnRNPC_K562_Input_rep1 | hnRNPC_K562_IP_rep2
GSE230495	2025	N	lit	32	32	STRONG	10.1261/rna.080288.124	OpenASO: RNA Rescue-designing splice-modulating antisense oligonucleotides through community science.	F8Exon16G351A_B_2A3_S4 | F8Exon16G351A_A_2A3_S3 | F8Exon16C348T_A_2A3_S23 | F8Exon16C321A_B_2A3_S28 | F8Exon16C179T_B_DMSO_S10 | F8Exon16C179T_A_2A3_S11 | F8Exon16A333G_Cofold_A_2A3_S13 | F8Exon16A333G_ASOCOMBO_B_2A3_S16 | F8Exon16A333G_ASOCOMBO_A_2A3_S14 | F8Exon16A333G_ASOCOMBO_A_DMSO_S13 | F8Exon16A333G_A_DMSO_S29 | F8Exon16_B_2A3_S20 | F8Exon16_B_DMSO_S18 | F8Exon16C348T_B_DMSO_S22 | F8Exon16C348T_A_DMSO_S21 | F8Exon16C321A_A_DMSO_S25 | F8Exon16A333G_Cofold_A_DMSO_S15 | F8Exon16A333G_B_DMSO_S30 | F8Exon16A333G_A_2A3_S31 | F8Exon16_A_2A3_S19 | F8Exon16G351A_B_DMSO_S2 | F8Exon16G351A_A_DMSO_
GSE263115	2025	Y	lit	0	0	NONE	10.1136/jitc-2024-010024	Comprehensive immunophenotyping of gastric adenocarcinoma identifies an inflamed class of tumors amenable to immunotherapies.	
GSE302532	2025	Y	lit	8	0	NONE	10.1002/jnr.70084	Moderate Chronic Treadmill Exercise Slows Dopaminergic Neuron Loss in a Rat Model of Parkinson's Disease and Alters RNA Content of	Exercised d | Sedentary a | Exercised c | Sedentary d | Sedentary b | Exercised b | Exercised a | Sedentary c
GSE243520	2025	N	lit	6	0	NONE	10.1016/j.ymthe.2025.01.049	FKBP51 inhibition ameliorates neurodegeneration and motor dysfunction in the neuromelanin-SNCA mouse model of Parkinson's disease.	Tyr_3 | Tyr_2 | C_3 | C_2 | C_1 | Tyr_1
GSE289241	2025	Y	lit	32	0	NONE	10.1038/s41531-025-00981-6	Differential memory enrichment of cytotoxic CD4 T cells in Parkinson's disease patients reactive to α-synuclein.	PD_R_neg CITE | PD_R_neg CITE | PD_R_pos CITE | HC_NR_pos CITE | HC_NR_pos CITE | HC_NR_pos CITE | PD_R_neg GEX | PD_R_pos GEX | HC_NR_neg GEX | HC_NR_pos GEX | PD_R_neg CITE | PD_R_pos CITE | PD_R_pos CITE | PD_R_pos CITE | HC_NR_neg CITE | HC_NR_pos CITE | PD_R_neg GEX | PD_R_neg GEX | HC_NR_neg GEX | HC_NR_pos GEX | PD_R_neg CITE | HC_NR_neg CITE | HC_NR_neg CITE | HC_NR_neg CITE | PD_R_neg GEX | PD_R_pos GEX | PD_R_pos GEX | PD_R_pos GEX | HC_NR_neg GEX | HC_NR_neg GEX | HC_NR_pos GEX | HC_NR_pos GEX
GSE228446	2024	Y	geo+lit	8	0	NONE	10.1073/pnas.2312080121	West Nile virus genome harbors essential riboregulatory elements with conserved and host-specific functional roles	C636_Rep2_Modified | Vero_Rep1_Unmodified | Vero_Rep1_Modified | C636_Rep2_Unmodified | C636_Rep1_Unmodified | Vero_Rep2_Modified | C636_Rep1_Modified | Vero_Rep2_Unmodified
