year_range	doi	pub_year	open_access	pmcid	accession	title
2022-2023	10.1016/j.jbc.2023.105443	2023	Y	PMC10704376		tRNA m<sup>1</sup>G9 modification depends on substrate-specific RNA conformational changes induced by the methyltransferase Trm10.
2022-2023	10.1016/bs.mie.2023.05.008	2023	N			Capture the in vivo intact RNA structurome by CAP-STRUCTURE-seq.
2022-2023	10.1002/cpz1.830	2023	N			Using 5' <sup>32</sup> P-labeled Primer and Reverse Transcription to Probe RNA Structure.
2022-2023	10.1073/pnas.2122660119	2022	Y	PMC9171761		SHAPE-enabled fragment-based ligand discovery for RNA.
2022-2023	10.1021/acscentsci.2c00149	2022	Y	PMC9228567	PRJNA767082	Interrogating RNA-Small Molecule Interactions with Structure Probing and Artificial Intelligence-Augmented Molecular Simulations.
2022-2023	10.1007/978-1-0716-3191-1_5	2023	N			SHAPE to Probe RNA Structure and RNA-Protein Interactions In Vitro.
2022-2023	10.1371/journal.pgen.1010669	2023	Y	PMC10358904		The oxidative stress response, in particular the katY gene, is temperature-regulated in Yersinia pseudotuberculosis.
2022-2023	10.1021/jacs.3c07736	2023	N			Characterizing Protonation-Coupled Conformational Ensembles in RNA via pH-Differential Mutational Profiling with DMS Probing.
2022-2023	10.1016/j.jmb.2023.168417	2024	N			Analysis of Telomerase RNA Structure in Physcomitrium patens Indicates Functionally Relevant Transitions Between OPEN and CLOSED Conformations.
2022-2023	10.1007/978-1-0716-3191-1_7	2023	N			Analysis of RNA-Protein Interaction Networks Using RNP-MaP.
2022-2023	10.1021/acs.accounts.2c00782	2023	N	PMC10078950		Single-Molecule Correlated Chemical Probing: A Revolution in RNA Structure Analysis.
2022-2023	10.1371/journal.pone.0270863	2022	Y	PMC9436142	PRJEB44384	The in vivo RNA structurome of the malaria parasite Plasmodium falciparum, a protozoan with an A/U-rich transcriptome.
2022-2023	10.1016/j.csbj.2023.12.040	2024	Y	PMC10808905		DeepFusion: A deep bimodal information fusion network for unraveling protein-RNA interactions using in vivo RNA structures.
2022-2023	10.1016/j.ijbiomac.2023.128062	2024	N			Variable eIF4E-binding sites and their synergistic effect on cap-independent translation in a novel IRES of wheat yellow mosaic virus RNA2 isolates.
2022-2023	10.1038/s41576-022-00546-w	2023	Y	PMC9644009		Probing the dynamic RNA structurome and its functions.
2022-2023	10.1038/s41467-023-36156-1	2023	Y	PMC9872083	PRJNA868816	3D RNA-scaffolded wireframe origami.
2022-2023	10.1038/s41467-022-29398-y	2022	Y	PMC8971488	GSE189259	SHAPE-guided RNA structure homology search and motif discovery.
2022-2023	10.1007/s11427-021-2116-2	2022	Y	PMC9206424		Recent advances in RNA structurome.
2022-2023	10.1242/jeb.246544	2023	N			Exploring the adaptability of the secondary structure of mRNA to temperature in intertidal snails based on SHAPE experiments.
2022-2023	10.1093/nargab/lqac082	2022	Y	PMC9585548	GSE210478	Thermodynamic and structural characterization of an EBV infected B-cell lymphoma transcriptome.
2022-2023	10.1016/bs.mie.2023.05.006	2023	N	PMC10917389		Structure-seq of tRNAs and other short RNAs in droplets and in vivo.
2022-2023	10.1038/s41418-023-01127-y	2023	Y	PMC10070458		The p53 endoplasmic reticulum stress-response pathway evolved in humans but not in mice via PERK-regulated p53 mRNA structures.
2022-2023	10.1007/978-1-0716-2687-0_8	2023	N			Prediction of Dynamic RBP-RNA Interactions Using PrismNet.
2022-2023	10.1016/bs.mie.2023.02.020	2023	N	PMC10994722		Chemical crosslinking and ligation methods for in vivo analysis of RNA structures and interactions.
2022-2023	10.1261/rna.079840.123	2023	Y	PMC10726167		Identification of a putative Gag binding site critical for feline immunodeficiency virus genomic RNA packaging.
2022-2023	10.1093/nar/gkad353	2023	Y	PMC10320048		PrismNet: predicting protein-RNA interaction using in vivo RNA structural information.
2022-2023	10.1093/nar/gkad807	2023	Y	PMC10639048	GSE233607	In vivo-like nearest neighbor parameters improve prediction of fractional RNA base-pairing in cells.
2022-2023	10.1261/rna.079190.122	2023	Y	PMC9945442		RNA:RNA interaction in ternary complexes resolved by chemical probing.
2022-2023	10.1016/j.xgen.2022.100097	2022	Y	PMC8896822	PRJNA634693	Direct detection of RNA modifications and structure using single-molecule nanopore sequencing.
2022-2023	10.1128/jvi.00448-23	2023	Y	PMC10231185		Role of RNA Domain Structure and Orientation in the Coxsackievirus B3 Virulence Phenotype.
2022-2023	10.1039/d3cc00043e	2023	N	PMC10089805		Cycloaddition enabled mutational profiling of 5-vinyluridine in RNA.
2022-2023	10.1261/rna.079388.122	2023	Y	PMC10159000	PRJNA816530	Structural analysis of MALAT1 long noncoding RNA in cells and in evolution.
2022-2023	10.1080/17460441.2022.2134852	2023	N			Discovery of RNA-targeted small molecules through the merging of experimental and computational technologies.
2022-2023	10.1093/nar/gkac405	2022	Y	PMC9410897		ShapeSorter: a fully probabilistic method for detecting conserved RNA structure features supported by SHAPE evidence.
2022-2023	10.3390/v15020295	2023	Y	PMC9959730		RNA Structure in the 5' Untranslated Region of Enterovirus D68 Strains with Differing Neurovirulence Phenotypes.
2022-2023	10.1038/s41467-023-35811-x	2023	Y	PMC9839774	GSE200706	Stress promotes RNA G-quadruplex folding in human cells.
2022-2023	10.1186/s12985-022-01824-z	2022	Y	PMC9137147		Conserved RNA secondary structure in Cherry virus A 5'-UTR associated with translation regulation.
2022-2023	10.1093/nar/gkac284	2022	Y	PMC9122605		Eukaryotic initiation factor 4F promotes a reorientation of eukaryotic initiation factor 3 binding on the 5' and the 3' UTRs of barley yellow dwarf virus mRNA.
2022-2023	10.1021/acs.jctc.3c00084	2023	Y	PMC10308816		Molecular Dynamics Simulations with Grand-Canonical Reweighting Suggest Cooperativity Effects in RNA Structure Probing Experiments.
2022-2023	10.7717/peerj.14335	2022	Y	PMC9756865		Predicting RNA secondary structure by a neural network: what features may be learned?
2022-2023	10.1016/j.tig.2023.10.001	2023	N			Predicting RNA structures and functions by artificial intelligence.
2022-2023	10.1093/nar/gkad296	2023	Y	PMC10320080		e-RNA: a collection of web-servers for the prediction and visualisation of RNA secondary structure and their functional features.
2022-2023	10.3390/ijms23115903	2022	Y	PMC9180208		The Second Class of Tetrahydrofolate (THF-II) Riboswitches Recognizes the Tetrahydrofolic Acid Ligand via Local Conformation Changes.
2022-2023	10.1371/journal.pgen.1010862	2023	Y	PMC10695388		A disease associated mutant reveals how Ltv1 orchestrates RP assembly and rRNA folding of the small ribosomal subunit head.
2022-2023	10.1016/j.jbc.2023.103028	2023	Y	PMC9930382		The 5'UTR of HCoV-OC43 adopts a topologically constrained structure to intrinsically repress translation.
2022-2023	10.32607/actanaturae.26826	2023	Y	PMC10790352		Cooperation and Competition of RNA Secondary Structure and RNA-Protein Interactions in the Regulation of Alternative Splicing.
2022-2023	10.1021/acs.biochem.3c00579	2024	N	PMC10896073		Validating the EMCV IRES Secondary Structure with Structure-Function Analysis.
2022-2023	10.7717/peerj.14361	2022	Y	PMC9651051		ScanFold 2.0: a rapid approach for identifying potential structured RNA targets in genomes and transcriptomes.
2022-2023	10.1039/d3sc00957b	2023	Y	PMC10094363		Transcriptome-wide identification of single-stranded RNA binding proteins.
2022-2023	10.1093/ve/vead056	2023	Y	PMC10492445		Evolution of transient RNA structure-RNA polymerase interactions in respiratory RNA virus genomes.
2022-2023	10.1007/978-1-0716-2695-5_12	2023	N			Probing of Fluorogenic RNA Aptamers via Supramolecular Förster Resonance Energy Transfer with a Universal Fluorescent Nucleobase Analog.
2022-2023	10.1016/j.fmre.2023.06.001	2023	Y	PMC11197651		RNA structure determination: From 2D to 3D.
2022-2023	10.1016/j.jbc.2022.101934	2022	Y	PMC9142559		The bacterial yjdF riboswitch regulates translation through its tRNA-like fold.
2022-2023	10.1093/nar/gkac007	2022	Y	PMC8860577		Structural characterization of a new subclass of panicum mosaic virus-like 3' cap-independent translation enhancer.
2022-2023	10.1093/nar/gkad224	2023	Y	PMC10201433		RNA origami scaffolds facilitate cryo-EM characterization of a Broccoli-Pepper aptamer FRET pair.
2022-2023	10.1261/rna.079652.123	2023	Y	PMC10573289	GSE224126	Transcriptome-wide probing reveals RNA thermometers that regulate translation of glycerol permease genes in <i>Bacillus subtilis</i>.
2022-2023	10.1002/cplu.202200256	2022	Y	PMC9828840		RNA Chemical Labeling with Site-Specific, Relative Quantification by Mass Spectrometry for the Structural Study of a Neomycin-Sensing Riboswitch Aptamer Domain.
2022-2023	10.3389/fped.2023.1286786	2023	Y	PMC10755014		Expression and clinical implications of PARs in the stenotic tissue of ureteropelvic junction obstruction.
2022-2023	10.1016/j.mex.2023.102275	2023	Y	PMC10336498		Discovery of RNA secondary structural motifs using sequence-ordered thermodynamic stability and comparative sequence analysis.
2022-2023	10.1186/s12864-023-09234-3	2023	Y	PMC10018874	PRJNA756617	Genome-wide identification of Kanamycin B binding RNA in Escherichia coli.
2022-2023	10.1016/j.jmb.2022.167667	2022	N			RNA Thermometer-coordinated Assembly of the Yersinia Injectisome.
2022-2023	10.7717/peerj.16414	2023	Y	PMC10691357	GSE127188	Long-range RNA structures in the human transcriptome beyond evolutionarily conserved regions.
2022-2023	10.1016/j.csbj.2023.01.007	2023	Y	PMC9876829		RNAsmc: A integrated tool for comparing RNA secondary structure and evaluating allosteric effects.
2022-2023	10.1002/prot.26584	2023	N	PMC10840738		Breaking the conformational ensemble barrier: Ensemble structure modeling challenges in CASP15.
2022-2023	10.1016/j.sbi.2022.102503	2023	N			Integrating experimental data with molecular simulations to investigate RNA structural dynamics.
2022-2023	10.1002/prot.26574	2023	N			RNA tertiary structure modeling with BRiQ potential in CASP15.
2022-2023	10.3390/v14071556	2022	Y	PMC9315659		Phosphomimetic S207D Lysyl-tRNA Synthetase Binds HIV-1 5'UTR in an Open Conformation and Increases RNA Dynamics.
2022-2023	10.1093/bib/bbad421	2023	Y	PMC10753535		A Hitchhiker's guide to RNA-RNA structure and interaction prediction tools.
2022-2023	10.1016/j.jmb.2022.167688	2022	N	PMC9474619		Solution Structure of NPSL2, A Regulatory Element in the oncomiR-1 RNA.
2022-2023	10.1371/journal.ppat.1010362	2022	Y	PMC8903280		Relaxing the restricted structural dynamics in the human hepatitis B virus RNA encapsidation signal enables replication initiation in vitro.
2022-2023	10.1016/j.chembiol.2023.10.022	2024	N	PMC10841764		2'-OH as a universal handle for studying intracellular RNAs.
2022-2023	10.1016/bs.mie.2023.09.001	2023	N			D-Seq: Genome-wide detection of dihydrouridine modifications in RNA.
2022-2023	10.1186/s13046-023-02752-8	2023	Y	PMC10386627		The new world of RNA diagnostics and therapeutics.
2022-2023	10.32607/actanaturae.11893	2023	Y	PMC10154773	GSE127188	RNAcontacts: A Pipeline for Predicting Contacts from RNA Proximity Ligation Assays.
2022-2023	10.1016/j.jbc.2022.102759	2023	Y	PMC9801127		Application of mutational profiling: New functional analyses reveal the tRNA recognition mechanism of tRNA m<sup>1</sup>A22 methyltransferase.
2022-2023	10.1016/bs.mie.2023.02.021	2023	N			Functional analysis of tRNA modification enzymes using mutational profiling.
2022-2023	10.1016/j.ceb.2023.102250	2023	N			Functional domains of nuclear long noncoding RNAs: Insights into gene regulation and intracellular architecture.
2022-2023	10.1021/acs.jpcb.3c03553	2023	N			Hierarchical Hydration Dynamics of RNA with Nano-Water-Pool at Its Core.
2022-2023	10.1016/j.jbc.2023.105548	2024	Y	PMC10805700		Global RNA modifications to the MALAT1 triple helix differentially affect thermostability and weaken binding to METTL16.
2022-2023	10.12703/r/11-39	2022	Y	PMC9816876		Brief considerations on targeting RNA with small molecules.
2022-2023	10.1002/prot.26583	2023	N	PMC10841231		Advancing RNA 3D structure prediction: Exploring hierarchical and hybrid approaches in CASP15.
2022-2023	10.3389/fpls.2023.1222186	2023	Y	PMC10352661		Mitochondrial genome annotation with MFannot: a critical analysis of gene identification and gene model prediction.
2022-2023	10.1073/pnas.2304082120	2023	Y	PMC10293807		Pervasive RNA folding is crucial for narnavirus genome maintenance.
2022-2023	10.1016/j.biochi.2023.07.014	2023	N			Development of a highly optimized procedure for the discovery of RNA G-quadruplexes by combining several strategies.
2022-2023	10.1002/prot.26644	2023	N	PMC10697286		CASP15 cryo-EM protein and RNA targets: Refinement and analysis using experimental maps.
2022-2023	10.1093/nar/gkac775	2022	Y	PMC9723614	PRJEB36658	Long-read single-molecule RNA structure sequencing using nanopore.
2022-2023	10.3389/fpls.2022.938570	2022	Y	PMC9450479		RNA structure mediated thermoregulation: What can we learn from plants?
2022-2023	10.1261/rna.079427.122	2023	Y	PMC10578472		A transient intermediate RNA structure underlies the regulatory function of the <i>E. coli thiB</i> TPP translational riboswitch.
2022-2023	10.3390/ijms24098158	2023	Y	PMC10179140		Dengue Virus Capsid Protein Facilitates Genome Compaction and Packaging.
2022-2023	10.1021/acs.accounts.3c00450	2023	N	PMC11025531		Chemoproteomic Approaches to Studying RNA Modification-Associated Proteins.
2022-2023	10.1042/bsr20220149	2023	Y	PMC9977717		How does precursor RNA structure influence RNA processing and gene expression?
2022-2023	10.1210/endocr/bqad076	2023	N	PMC10227867		Novel Candidate Regulators and Developmental Trajectory of Pituitary Thyrotropes.
2022-2023	10.1261/rna.079486.122	2023	Y	PMC10351890		Occurrence and classification of T-shaped interactions between nucleobases in RNA structures.
2022-2023	10.1016/j.jmb.2023.168210	2023	N			Arena: Rapid and Accurate Reconstruction of Full Atomic RNA Structures From Coarse-grained Models.
2022-2023	10.1080/07391102.2023.2214231	2024	N			Synthesis, NMR kinetics and dynamic structure of a 17-mer heptaloop RNA hairpin carrying a 3-<i>N</i>-methyluridine nucleotide residue in the loop region.
2022-2023	10.1093/bib/bbad210	2023	N			Machine learning modeling of RNA structures: methods, challenges and future perspectives.
2022-2023	10.15252/embr.202256021	2023	Y	PMC10328067	PRJNA855586	SRSF3 shapes the structure of miR-17-92 cluster RNA and promotes selective processing of miR-17 and miR-20a.
2022-2023	10.1080/07391102.2022.2116110	2023	N			Assessment of tools for RNA secondary structure prediction and extraction: a final-user perspective.
2022-2023	10.1016/bs.mie.2023.07.003	2023	N			RT-based Sanger sequencing of RNAs containing complex RNA repetitive elements.
2022-2023	10.3390/cancers15051582	2023	Y	PMC10001201		Discovering Synergistic Compounds with BYL-719 in PI3K Overactivated Basal-like PDXs.
2022-2023	10.1016/j.molcel.2022.02.009	2022	N	PMC9081252		Discovery of a large-scale, cell-state-responsive allosteric switch in the 7SK RNA using DANCE-MaP.
2022-2023	10.1128/mmbr.00082-23	2023	N	PMC10732063		Negative and ambisense RNA virus ribonucleocapsids: more than protective armor.
2022-2023	10.1016/j.molcel.2023.09.016	2023	N	PMC10841463		tRNA renovatio: Rebirth through fragmentation.
2022-2023	10.1016/j.molcel.2023.10.026	2023	N			Structural basis of RNA-induced autoregulation of the DExH-type RNA helicase maleless.
2022-2023	10.1002/prot.26550	2023	N	PMC10792523		RNA target highlights in CASP15: Evaluation of predicted models by structure providers.
2022-2023	10.1016/j.cell.2023.05.032	2023	N			Structural RNA components supervise the sequential DNA cleavage in R2 retrotransposon.
2022-2023	10.1002/mco2.198	2023	Y	PMC9790047		SOX2-positive retinal stem cells are identified in adult human pars plicata by single-cell transcriptomic analyses.
2022-2023	10.1016/j.compbiolchem.2023.107878	2023	N			P-FARFAR2: A multithreaded greedy approach to sampling low-energy RNA structures in Rosetta FARFAR2.
2022-2023	10.1080/07391102.2023.2292296	2025	N	PMC11176267		Elaborated pseudoknots that stimulate -1 programmed ribosomal frameshifting or stop codon readthrough in RNA viruses.
2022-2023	10.1021/acs.jpca.2c00456	2022	N			Using Unassigned NMR Chemical Shifts to Model RNA Secondary Structure.
2022-2023	10.3389/fmolb.2022.1044126	2022	Y	PMC9649582		An overview of structural approaches to study therapeutic RNAs.
2022-2023	10.1093/nar/gkac102	2022	Y	PMC9756952	PRJNA776034	Cotranscriptional RNA strand exchange underlies the gene regulation mechanism in a purine-sensing transcriptional riboswitch.
2022-2023	10.15252/embj.2023114400	2023	N	PMC10577639		The plant noncoding transcriptome: a versatile environmental sensor.
2022-2023	10.1016/j.heliyon.2023.e18011	2023	Y	PMC10362307	GSE56363	Lumican is a potential predictor on the efficacy of concurrent chemoradiotherapy in cervical squamous cell carcinoma.
2022-2023	10.1007/978-1-0716-2687-0_13	2023	N			Auto-DRRAFTER: Automated RNA Modeling Based on Cryo-EM Density.
2022-2023	10.3389/fpls.2022.868771	2022	Y	PMC9108716		The Potential Role of RNA Structure in Crop Molecular Breeding.
2022-2023	10.1016/j.tig.2022.03.016	2022	N	PMC9378604		Singling out motor neurons in the age of single-cell transcriptomics.
2022-2023	10.1186/s13578-023-00972-1	2023	Y	PMC9922466		HIV co-opts a cellular antiviral mechanism, activation of stress kinase PKR by its RNA, to enable splicing of rev/tat mRNA.
2022-2023	10.1093/nar/gkad868	2023	Y	PMC10681803		Dynamic ParB-DNA interactions initiate and maintain a partition condensate for bacterial chromosome segregation.
2022-2023	10.1073/pnas.2112677119	2022	Y	PMC9169933		Thoughts on how to think (and talk) about RNA structure.
2022-2023	10.1111/febs.16742	2023	N			Versatile RNA: overlooked gems of the transcriptome.
2022-2023	10.1073/pnas.2218425120	2023	Y	PMC10193934		Universality in RNA and DNA deformations induced by salt, temperature change, stretching force, and protein binding.
2022-2023	10.1073/pnas.2217053120	2023	Y	PMC10104495	GSE226865	Structure-first identification of RNA elements that regulate dengue virus genome architecture and replication.
2022-2023	10.1073/pnas.2220485120	2023	Y	PMC10243134		Dissecting the energetic architecture within an RNA tertiary structural motif via high-throughput thermodynamic measurements.
2022-2023	10.1016/j.jmb.2023.168181	2023	N			D-ORB: A Web Server to Extract Structural Features of Related But Unaligned RNA Sequences.
2022-2023	10.3389/fgene.2023.1072995	2023	Y	PMC9900029	GSE137897	Single-cell analysis reveals melanocytes may promote inflammation in chronic wounds through cathepsin G.
2022-2023	10.1093/bib/bbad049	2023	N			Identification of metal ion-binding sites in RNA structures using deep learning method.
2022-2023	10.1093/bib/bbad225	2023	N			C-RCPred: a multi-objective algorithm for interactive secondary structure prediction of RNA complexes integrating user knowledge and SHAPE data.
2022-2023	10.1016/j.ygcen.2023.114233	2023	N			Different neuroendocrine cell types in the pars intercerebralis of Periplaneta americana produce their own specific IGF-related peptides.
2022-2023	10.1016/j.tibs.2022.12.002	2023	N	PMC12550694		RNA levers and switches controlling viral gene expression.
2022-2023	10.1261/rna.079291.122	2022	Y	PMC9670806		Experimental evidence for the correlation between RNA structural fluctuations and the frequency of beneficial mutations.
2022-2023	10.3390/ijms23105850	2022	Y	PMC9144543		A Structural Potential of Rare Trinucleotide Repeat Tracts in RNA.
2022-2023	10.1371/journal.ppat.1010888	2022	Y	PMC9553062		Complex and simple translational readthrough signals in pea enation mosaic virus 1 and potato leafroll virus, respectively.
2022-2023	10.1021/acs.biochem.3c00506	2024	N			Flanking Sequence Cotranscriptionally Regulates Twister Ribozyme Activity.
2022-2023	10.1158/0008-5472.can-22-2510	2023	Y	PMC10390863		Profiling the Somatic Mutational Landscape of Breast Tumors from Hispanic/Latina Women Reveals Conserved and Unique Characteristics.
2022-2023	10.1261/rna.079506.122	2023	Y	PMC10187676		Structural and dynamic effects of pseudouridine modifications on noncanonical interactions in RNA.
2022-2023	10.1016/j.csbj.2022.05.028	2022	Y	PMC9136272		SSRTool: A web tool for evaluating RNA secondary structure predictions based on species-specific functional interpretability.
2022-2023	10.1002/prot.26515	2023	N	PMC10713864		New prediction categories in CASP15.
2022-2023	10.1021/acschembio.1c00880	2022	N	PMC8938680		Subsite Ligand Recognition and Cooperativity in the TPP Riboswitch: Implications for Fragment-Linking in RNA Ligand Discovery.
2022-2023	10.1016/j.virusres.2022.198966	2023	Y	PMC9561399	GSE158052	Natural selection pressure exerted on "Silent" mutations during the evolution of SARS-CoV-2: Evidence from codon usage and RNA structure.
2022-2023	10.1002/cbic.202300228	2023	N			A Protonated Cytidine Stabilizes the Ligand-Binding Pocket in the PreQ<sub>1</sub> Riboswitch in Thermophilic Bacteria.
2022-2023	10.1093/nar/gkac212	2022	Y	PMC9023295	PRJNA816904	NMR-derived secondary structure of the full-length Ox40 mRNA 3'UTR and its multivalent binding to the immunoregulatory RBP Roquin.
2022-2023	10.1007/978-1-0716-2768-6_13	2023	N			RNA Structure Determination by High-Throughput Structural Analysis.
2022-2023	10.1093/nar/gkad056	2023	Y	PMC10018353	PRJNA906919	A riboswitch separated from its ribosome-binding site still regulates translation.
2022-2023	10.1093/bib/bbad110	2023	N			A computational approach for the identification of distant homologs of bacterial riboswitches based on inverse RNA folding.
2022-2023	10.3390/cimb45010039	2023	Y	PMC9857539		Cooperative Binding of SRSF3 to Structured 3'ss-α Exon RNA during α Exon Inclusion in the ZO-1 mRNA.
2022-2023	10.1002/chem.202201749	2022	N			Targeting Pathogenic DNA and RNA Repeats: A Conceptual Therapeutic Way for Repeat Expansion Diseases.
2022-2023	10.3389/fmolb.2022.869601	2022	Y	PMC9168262		Deep Learning in RNA Structure Studies.
2022-2023	10.3389/fpls.2022.926953	2022	Y	PMC9242502		A Key Molecular Regulator, RNA G-Quadruplex and Its Function in Plants.
2022-2023	10.1007/978-1-0716-2687-0_2	2023	N	PMC11268537		Probing RNA Structures and Interactions Using Fluorescence Lifetime Analyses.
2022-2023	10.1261/rna.079378.122	2023	Y	PMC10158990		Exploring structural determinants and the role of nucleolin in formation of the long-range interactions between untranslated regions of p53 mRNA.
2022-2023	10.1128/jvi.01949-22	2023	N	PMC10134800		Specialized <i>cis</i>-Acting RNA Elements Balance Genome Cyclization to Ensure Efficient Replication of Yellow Fever Virus.
2022-2023	10.1093/nargab/lqab127	2022	Y	PMC8759568		Prediction and analysis of functional RNA structures within the integrative genomics viewer.
2022-2023	10.3389/fgene.2022.1037134	2022	Y	PMC9650216		Modification mapping by nanopore sequencing.
2022-2023	10.1016/j.jbc.2023.105225	2023	Y	PMC10562873		Emerging functional principles of tRNA-derived small RNAs and other regulatory small RNAs.
2022-2023	10.3390/ijms24021232	2023	Y	PMC9860923		Structural and Functional RNA Motifs of SARS-CoV-2 and Influenza A Virus as a Target of Viral Inhibitors.
2022-2023	10.1016/j.ymeth.2022.06.009	2022	N			Determination of RNA-ligand interactions with the photoaffinity platform PEARL-seq.
2022-2023	10.1186/s12859-022-04943-0	2022	Y	PMC9569039		IndelsRNAmute: predicting deleterious multiple point substitutions and indels mutations.
2022-2023	10.1158/1078-0432.ccr-22-0632	2022	N	PMC7613712		Hepatocellular Carcinoma in Mongolia Delineates Unique Molecular Traits and a Mutational Signature Associated with Environmental Agents.
2022-2023	10.1080/17460441.2022.2111414	2023	N			Strategies for targeting RNA with small molecule drugs.
2022-2023	10.1093/bib/bbac205	2022	N			Secondary structure prediction of long noncoding RNA: review and experimental comparison of existing approaches.
2022-2023	10.1016/j.crmeth.2022.100334	2022	Y	PMC9701603		Systematic generation and imaging of tandem repeats reveal base-pairing properties that promote RNA aggregation.
2022-2023	10.3390/biom12111605	2022	Y	PMC9687910		Structural Consequences of Deproteinating the 50S Ribosome.
2022-2023	10.1128/jvi.00038-23	2023	Y	PMC10062133	PRJNA929486	Deletion of the s2m RNA Structure in the Avian Coronavirus Infectious Bronchitis Virus and Human Astrovirus Results in Sequence Insertions.
2022-2023	10.1002/ijc.34551	2023	N			Prognostic impact of kallikrein-related peptidase transcript levels in prostate cancer.
2022-2023	10.1007/s12010-023-04740-2	2024	N			Hsa_circ_0054220 Upregulates HMGA1 by the Competitive RNA Pattern to Promote Neural Impairment in MPTP Model of Parkinson's Disease.
2022-2023	10.1002/wrna.1715	2022	N			Detecting RNA-RNA interactome.
2022-2023	10.3389/fgene.2022.840369	2022	Y	PMC9159357	GSE189899	Neuronal Cells Display Distinct Stability Controls of Alternative Polyadenylation mRNA Isoforms, Long Non-Coding RNAs, and Mitochondrial RNAs.
2022-2023	10.1128/mmbr.00057-21	2022	Y	PMC9491204		Lessons Learned and Yet-to-Be Learned on the Importance of RNA Structure in SARS-CoV-2 Replication.
2022-2023	10.1007/978-1-0716-2593-4_27	2022	N			Nonradioactive In Situ Hybridization of MT1 Melatonin Receptor for the Identification of Melatonin Target Cells.
2022-2023	10.1111/febs.16889	2023	N			Non-canonical nucleosides: Biomimetic triphosphorylation, incorporation into mRNA and effects on translation and structure.
2022-2023	10.7554/elife.73888	2022	Y	PMC9236610	PRJNA762079	Quantitative prediction of variant effects on alternative splicing in <i>MAPT</i> using endogenous pre-messenger RNA structure probing.
2022-2023	10.1093/molbev/msab280	2022	Y	PMC8763027		Phenotype Bias Determines How Natural RNA Structures Occupy the Morphospace of All Possible Shapes.
2022-2023	10.1007/s12035-023-03809-7	2024	N			Emerging Role of Long Noncoding RNAs in Regulating Inflammasome-Mediated Neurodegeneration in Parkinson's Disease.
