pmid	doi	year	oa	pmcid	title
16730404	10.1016/j.biochi.2006.04.006	2006	N		Biochemical characterization of the ribosomal decoding site.
18593706	10.1074/jbc.c800120200	2008	N	PMC2504901	Crystal structure of the lysine riboswitch regulatory mRNA element.
35087598	10.1080/17486700802168445	2008	N	PMC7612264	RNA packing specificity and folding during assembly of the bacteriophage MS2.
19336245	10.1016/j.pnpbp.2009.03.021	2009	N		Expression of ErbB4 in substantia nigra dopamine neurons of monkeys and humans.
16872657	10.1016/j.virol.2006.04.022	2006	N	PMC7116519	Specific binding of Bluetongue virus NS2 to different viral plus-strand RNAs.
15907937	10.1016/j.jmb.2005.04.045	2005	N		Structure of the RNA signal essential for translational frameshifting in HIV-1.
18474594	10.1074/jbc.m802829200	2008	N		Apical loop-internal loop RNA pseudoknots: a new type of stimulator of -1 translational frameshifting in bacteria.
19596815	10.1093/nar/gkp588	2009	Y	PMC2760816	Conserved functional domains and a novel tertiary interaction near the pseudoknot drive translational activity of hepatitis C viru
17428856	10.1128/jvi.02231-06	2007	N	PMC1900089	New structure model for the packaging signal in the genome of group IIa coronaviruses.
18772247	10.1261/rna.1144508	2008	N	PMC2553734	Trypanosoma brucei ATPase subunit 6 mRNA bound to gA6-14 forms a conserved three-helical structure.
15701733	10.1261/rna.7184705	2005	N	PMC1370722	A preformed compact ribosome-binding domain in the cricket paralysis-like virus IRES RNAs.
16962133	10.1016/j.jmb.2006.08.028	2006	N		Characterization of the reactivity determinants of a novel hairpin substrate of yeast RNase III.
19625386	10.1261/rna.1385409	2009	N	PMC2743054	Footprinting analysis of BWYV pseudoknot-ribosome complexes.
17475638	10.1128/jvi.00549-07	2007	N	PMC1933353	An RNA stem-loop within the bovine coronavirus nsp1 coding region is a cis-acting element in defective interfering RNA replication
17170455	10.1099/vir.0.82064-0	2007	N		Structure-function analysis of the ribosomal frameshifting signal of two human immunodeficiency virus type 1 isolates with increas
17848177	10.1111/j.1538-7836.2007.02759.x	2007	N		Tissue factor induction by protease-activated receptor 1 requires intact caveolin-enriched membrane microdomains in human endothel
16403527	10.1016/j.jmb.2005.12.022	2006	N		Polymorphism of bulged-out residues in HIV-1 RNA DIS kissing complex and structure comparison with solution studies.
15972795	10.1093/nar/gki666	2005	Y	PMC1156966	Mapping the interaction of SmpB with ribosomes by footprinting of ribosomal RNA.
17576690	10.1093/nar/gkm439	2007	Y	PMC1935000	In vitro analysis of the interaction between the small RNA SR1 and its primary target ahrC mRNA.
16855293	10.1093/nar/gkl445	2006	Y	PMC1524914	Structural parameters affecting the kinetics of RNA hairpin formation.
17900652	10.1016/j.virol.2007.08.006	2008	N		Structural and functional analyses of stem-loop 1 of the Sindbis virus genome.
17879594		2007	N		Microarray analysis of laser capture microdissected substantia nigra pars compacta after a single administration of MPTP in common
17170000	10.1093/nar/gkl1050	2007	Y	PMC1802598	Modulating role of RNA structure in alternative splicing of a critical exon in the spinal muscular atrophy genes.
20337024		2010	N		[An atomic force microscopy study on the images of para influenza virus under different treatment conditions].
17702765	10.1093/nar/gkm601	2007	Y	PMC2018611	Muscleblind-like 1 interacts with RNA hairpins in splicing target and pathogenic RNAs.
15923374	10.1261/rna.7205405	2005	N	PMC1370772	Structural characterization of an anti-gp120 RNA aptamer that neutralizes R5 strains of HIV-1.
18809678	10.1074/jbc.m804977200	2008	N		An unusual RNA recognition motif acts as a scaffold for multiple proteins in the pre-mRNA retention and splicing complex.
19004956	10.1128/jvi.02060-08	2009	N	PMC2612397	Structural plasticity and rapid evolution in a viral RNA revealed by in vivo genetic selection.
19771227		2006	Y	PMC2737222	Systematic analysis of the role of target site accessibility in the activity of DNA enzymes.
18056701	10.1074/jbc.m708451200	2008	N		Paraquat neurotoxicity is mediated by a Bak-dependent mechanism.
18579599	10.1128/jvi.00416-08	2008	N	PMC2519621	Structural domains within the 3' untranslated region of Turnip crinkle virus.
17416964	10.1007/s12009-006-0015-0	2006	N		Fungal endophthalmitis complicating subconjunctival injection of triamcinolone acetonide in anterior scleritis.
20573704	10.1093/brain/awq142	2010	N	PMC2892944	The transcription factor orthodenticle homeobox 2 influences axonal projections and vulnerability of midbrain dopaminergic neurons
16237103	10.4049/jimmunol.175.9.6076	2005	N		Arginine-specific gingipains from Porphyromonas gingivalis stimulate production of hepatocyte growth factor (scatter factor) throu
16618968	10.1261/rna.3406	2006	N	PMC1464861	Interactions of mRNAs and gRNAs involved in trypanosome mitochondrial RNA editing: structure probing of a gRNA bound to its cognat
17482209	10.1016/j.jmb.2007.04.022	2007	N		The transcriptional repressor TtgV recognizes a complex operator as a tetramer and induces convex DNA bending.
16203104	10.1016/j.neuroscience.2005.08.026	2005	N		Two pathways for the activation of small-conductance potassium channels in neurons of substantia nigra pars reticulata.
16687155	10.1016/j.lfs.2006.03.034	2006	N		Up-regulation of protease-activated receptor-2 by bFGF in cultured human synovial fibroblasts.
17102904	10.1007/s11010-006-9342-0	2007	N		Chymase increases glomerular albumin permeability via protease-activated receptor-2.
16547142	10.1073/pnas.0506548103	2006	N	PMC1458789	Downstream boundary of chromosomal R-loops at murine switch regions: implications for the mechanism of class switch recombination.
21129971	10.1016/j.cub.2010.10.048	2010	N		A molecular switch for photoperiod responsiveness in mammals.
17126293	10.1016/j.bbrc.2006.11.030	2007	N		The neuropeptide SIFamide modulates sexual behavior in Drosophila.
18832468	10.1073/pnas.0807635105	2008	N	PMC2559801	Interplay of beta2* nicotinic receptors and dopamine pathways in the control of spontaneous locomotion.
20800791	10.1016/j.anai.2010.07.008	2010	N		Induction of interleukin 8 by American cockroach allergens from human airway epithelial cells via extracellular signal regulatory 
20173338	10.1159/000285517	2010	N		Silencing/overexpressing selected genes as a model of sporadic Parkinson's disease.
17060322	10.1074/jbc.m603950200	2006	N		p53 mediates nontranscriptional cell death in dopaminergic cells in response to proteasome inhibition.
16204185	10.1101/gad.354405	2005	N	PMC1240044	Hfq-dependent regulation of OmpA synthesis is mediated by an antisense RNA.
16603544	10.1074/jbc.m601711200	2006	N		NMR structure of the full-length linear dimer of stem-loop-1 RNA in the HIV-1 dimer initiation site.
16875721	10.1016/j.ygyno.2006.05.048	2006	N		The pattern of Protease Activated Receptor 1 (PAR1) expression in endometrial carcinoma.
16574071	10.1016/j.bbrc.2006.02.192	2006	N		A fifth protein subunit Ph1496p elevates the optimum temperature for the ribonuclease P activity from Pyrococcus horikoshii OT3.
20356854	10.1093/brain/awq051	2010	N		PINK1-linked parkinsonism is associated with Lewy body pathology.
19912472	10.1111/j.1365-2826.2009.01937.x	2010	N		Effect of photoperiod on the thyroid-stimulating hormone neuroendocrine system in the European hamster (Cricetus cricetus).
18452714	10.1016/j.bbamcr.2008.03.016	2008	N		PKC-delta/c-Src-mediated EGF receptor transactivation regulates thrombin-induced COX-2 expression and PGE(2) production in rat vas
20513182	10.2460/ajvr.71.6.664	2010	N		Gene expression of proteolytic systems and growth regulators of skeletal muscle in horses with myopathy associated with pituitary 
16257416	10.1016/j.jmb.2005.09.063	2005	N		An intricate RNA structure with two tRNA-derived motifs directs complex formation between yeast aspartyl-tRNA synthetase and its m
20082978	10.1016/s1353-8020(09)70803-x	2009	N		Modeling sporadic Parkinson's disease by silencing the ubiquitin E3 ligase component, SKP1A.
19482226	10.1016/j.pneurobio.2009.02.004	2009	N		Early involvement of the cerebral cortex in Parkinson's disease: convergence of multiple metabolic defects.
16682064	10.1016/j.virol.2006.03.011	2006	N	PMC2921640	Evolution of virus-derived sequences for high-level replication of a subviral RNA.
18977430	10.1016/j.bbi.2008.10.003	2009	N		Cloning of opioid receptors in common carp (Cyprinus carpio L.) and their involvement in regulation of stress and immune response.
19424642	10.3892/or_00000393	2009	N		Evidence for increased expression of tissue factor and protease-activated receptor-1 in human esophageal cancer.
16753304	10.1016/j.nbd.2006.04.002	2006	N		Regional vulnerability of mesencephalic dopaminergic neurons prone to degenerate in Parkinson's disease: a post-mortem study in hu
17059562	10.1111/j.1471-4159.2006.04155.x	2006	N		A ubiquitin ligase HRD1 promotes the degradation of Pael receptor, a substrate of Parkin.
18669596	10.1210/en.2008-0834	2008	N		Identification of melatonin-regulated genes in the ovine pituitary pars tuberalis, a target site for seasonal hormone control.
18308730	10.1074/jbc.m709493200	2008	N		Kallikrein-related peptidase 4 (KLK4) initiates intracellular signaling via protease-activated receptors (PARs). KLK4 and PAR-2 ar
16245281	10.1002/pros.20326	2006	N		Thrombin receptor expression is upregulated in prostate cancer.
19621073	10.1371/journal.pntd.0000479	2009	Y	PMC2707606	Protease activated receptor signaling is required for African trypanosome traversal of human brain microvascular endothelial cells
16963049	10.1016/j.ygcen.2006.07.013	2007	N		IGF-I is distinctly located in the bony fish pituitary as revealed for Oreochromis niloticus, the Nile tilapia, using real-time RT
16021575	10.1016/j.humpath.2005.04.008	2005	N		Expression of protease-activated receptors 1 and 2 in melanocytic nevi and malignant melanoma.
15935162	10.1016/j.ygcen.2005.02.012	2005	N		Photoperiod regulates clock gene rhythms in the ovine liver.
16942465	10.1042/bj20060732	2007	N	PMC1698669	Proteinase-activated receptor-1 and -2 induce the release of chemokine GRO/CINC-1 from rat astrocytes via differential activation 
24131055	10.1142/s021972001350011x	2013	N	PMC4529286	A peak alignment algorithm with novel improvements in application to electropherogram analysis.
24270811	10.1038/nature12756	2014	N		In vivo genome-wide profiling of RNA secondary structure reveals novel regulatory features.
25303992	10.1093/nar/gku909	2014	Y	PMC4245970	SHAPE-Seq 2.0: systematic optimization and extension of high-throughput chemical probing of RNA secondary structure with next gene
23788555	10.1002/9780470559277.ch120019	2012	N		SHAPE-Seq: High-Throughput RNA Structure Analysis.
25557357	10.1016/j.bmcl.2014.12.020	2015	N		RNA SHAPE chemistry with aromatic acylating reagents.
25132067	10.1002/wrna.1253	2014	N	PMC5592018	RNA structural analysis by evolving SHAPE chemistry.
24696340	10.1007/978-1-4939-0348-1_14	2014	N		Insights into secondary and tertiary interactions of dengue virus RNA by SHAPE.
25332375	10.1261/rna.043844.113	2014	Y	PMC4238353	Rational experiment design for sequencing-based RNA structure mapping.
23065560	10.1007/978-1-62703-113-4_12	2012	N		Plasmid template design and in vitro transcription of short RNAs within a "structure cassette" for structure probing experiments.
21882876	10.1021/ja2063583	2011	N		A powerful approach for the selection of 2-aminopurine substitution sites to investigate RNA folding.
23748604	10.3791/50243	2013	N	PMC3727345	RNA secondary structure prediction using high-throughput SHAPE.
24318898	10.1007/978-1-62703-730-3_17	2014	N		Use of SHAPE to select 2AP substitution sites for RNA-ligand interactions and dynamics studies.
23986599	10.1128/jvi.02005-13	2013	N	PMC3807929	The kissing-loop T-shaped structure translational enhancer of Pea enation mosaic virus can bind simultaneously to ribosomes and a 
25253206	10.1186/1471-2105-15-s9-s15	2014	Y	PMC4168714	ProbeAlign: incorporating high-throughput sequencing-based structure probing information into ncRNA homology search.
24510890	10.1002/9780471729259.mc15h03s30	2013	N	PMC4826560	RNA structure analysis of viruses using SHAPE.
23064747	10.1101/gr.138545.112	2013	Y	PMC3561878	SeqFold: genome-scale reconstruction of RNA secondary structure integrating high-throughput sequencing data.
25307890	10.1016/j.virusres.2014.10.001	2014	Y	PMC7114417	RNA structure analysis of alphacoronavirus terminal genome regions.
24636992	10.1128/mcb.01322-13	2014	N	PMC4019031	Ribosome assembly factors Pwp1 and Nop12 are important for folding of 5.8S rRNA during ribosome biogenesis in Saccharomyces cerevi
24742934	10.1261/rna.043323.113	2014	Y	PMC4024639	RNA secondary structure modeling at consistent high accuracy using differential SHAPE.
23188808	10.1261/rna.036327.112	2013	N	PMC3527727	QuShape: rapid, accurate, and best-practices quantification of nucleic acid probing information, resolved by capillary electrophor
24049069	10.1093/nar/gkt841	2014	Y	PMC3874160	End-to-end crosstalk within the hepatitis C virus genome mediates the conformational switch of the 3'X-tail region.
23640333	10.1093/nar/gkt353	2013	Y	PMC3711434	The HIV-2 Rev-response element: determining secondary structure and defining folding intermediates.
24141619	10.1261/rna.042374.113	2013	Y	PMC3884660	Safer one-pot synthesis of the 'SHAPE' reagent 1-methyl-7-nitroisatoic anhydride (1m7).
21642536	10.1073/pnas.1106541108	2011	N	PMC3131376	Modeling and automation of sequencing-based characterization of RNA structure.
21642531	10.1073/pnas.1106501108	2011	N	PMC3131332	Multiplexed RNA structure characterization with selective 2'-hydroxyl acylation analyzed by primer extension sequencing (SHAPE-Seq
24129494	10.1261/rna.041194.113	2013	Y	PMC3884665	Identification of the binding site of Rlp7 on assembling 60S ribosomal subunits in Saccharomyces cerevisiae.
23503844	10.1073/pnas.1219988110	2013	N	PMC3619282	Accurate SHAPE-directed RNA secondary structure modeling, including pseudoknots.
24136603	10.1007/978-1-62703-667-2_9	2014	N		Chemical probing of RNA in living cells.
24752374	10.1039/c4cc01134a	2014	N		Biotin-conjugated N-methylisatoic anhydride: a chemical tool for nucleic acid separation by selective 2'-hydroxyl acylation of RNA
21549712	10.1016/j.jmb.2011.04.039	2011	N	PMC3479645	Variable sequences outside the SAM-binding core critically influence the conformational dynamics of the SAM-III/SMK box riboswitch
24203709	10.1093/nar/gkt1051	2014	Y	PMC3919574	Visualizing the ai5γ group IIB intron.
25232095	10.1093/nar/gku837	2014	Y	PMC4191411	Endogenous polyamine function--the RNA perspective.
24136599	10.1007/978-1-62703-667-2_5	2014	N		Mapping RNA structure in vitro using nucleobase-specific probes.
22314289	10.1038/mt.2011.299	2012	N	PMC3321596	SHAPE-directed discovery of potent shRNA inhibitors of HIV-1.
23089363	10.1016/j.jgg.2012.08.002	2012	N		The role of RNA structure in posttranscriptional regulation of gene expression.
24961997	10.1111/febs.12890	2014	Y	PMC4163634	Magnesium-dependent folding of a picornavirus IRES element modulates RNA conformation and eIF4G interaction.
23065552	10.1007/978-1-62703-113-4_4	2012	N		General protocols for preparation of plasmid DNA template, RNA in vitro transcription, and RNA purification by denaturing PAGE.
23178934	10.1038/nchembio.1131	2013	N	PMC3706714	RNA SHAPE analysis in living cells.
25086036	10.1074/jbc.m114.574780	2014	N	PMC4176221	Binding induced RNA conformational changes control substrate recognition and catalysis by the thiostrepton resistance methyltransf
24002212	10.1038/emboj.2013.198	2013	N	PMC3817461	RNA structure analysis of human spliceosomes reveals a compact 3D arrangement of snRNAs at the catalytic core.
22287514	10.1128/jb.06274-11	2012	N	PMC3318457	Transcriptional and posttranscriptional events control copper-responsive expression of a Rhodobacter capsulatus multicopper oxidas
25404287	10.1073/pnas.1410114111	2014	N	PMC4260595	Structural model of an mRNA in complex with the bacterial chaperone Hfq.
22634282	10.1016/j.jmb.2012.05.012	2012	N	PMC3572719	Real-time evidence for EF-G-induced dynamics of helix 44 in 16S rRNA.
21821049	10.1016/j.jmb.2011.07.048	2011	N	PMC3167742	Slow formation of stable complexes during coincubation of minimal rRNA and ribosomal protein S4.
21566646	10.1038/embor.2011.76	2011	N	PMC3128965	G-quadruplex RNA structure as a signal for neurite mRNA targeting.
24818530	10.1021/bi500198b	2014	N	PMC4950920	Ribosome RNA assembly intermediates visualized in living cells.
25198768	10.1021/cb5003224	2014	Y	PMC4245169	Macrolide-peptide conjugates as probes of the path of travel of the nascent peptides through the ribosome.
25346967	10.1111/mpp.12130	2014	N	PMC6638799	Elucidation of the structures of all members of  the Avsunviroidae family.
23066110	10.1093/nar/gks927	2012	Y	PMC3526292	The folding of the hepatitis C virus internal ribosome entry site depends on the 3'-end of the viral genome.
24215455	10.1021/bi401207q	2013	N	PMC4905562	The cellular environment stabilizes adenine riboswitch RNA structure.
25183835	10.1261/rna.044321.114	2014	Y	PMC4201832	High-throughput mutate-map-rescue evaluates SHAPE-directed RNA structure and uncovers excited states.
24897295	10.1371/journal.pone.0098655	2014	Y	PMC4045682	Comprehensive secondary structure elucidation of four genera of the family Pospiviroidae.
24820959	10.1021/ja502754f	2014	Y	PMC4227816	Identification of biologically active, HIV TAR RNA-binding small molecules using small molecule microarrays.
23393189	10.1093/nar/gkt063	2013	Y	PMC3616728	Pyrvinium pamoate changes alternative splicing of the serotonin receptor 2C by influencing its RNA structure.
22072754	10.1128/jvi.06367-11	2012	N	PMC3255806	Structural map of a microRNA-122: hepatitis C virus complex.
25432749	10.1016/b978-0-12-801122-5.00008-8	2014	N	PMC4896901	SHAPE analysis of small RNAs and riboswitches.
24152551	10.1261/rna.040931.113	2013	Y	PMC3884649	SHAPE analysis of the 5' end of the Mason-Pfizer monkey virus (MPMV) genomic RNA reveals structural elements required for genome d
23349871	10.1371/journal.pone.0054384	2013	Y	PMC3551766	In vitro secondary structure of the genomic RNA of satellite tobacco mosaic virus.
24689688	10.1089/cmb.2013.0044	2014	N	PMC4116156	Simultaneous folding of alternative RNA structures with mutual constraints: an application to next-generation sequencing-based RNA
23221641	10.1093/nar/gks1212	2013	Y	PMC3553989	Gemin5 promotes IRES interaction and translation control through its C-terminal region.
24481250	10.3390/v6020489	2014	Y	PMC3939467	Structural analyses of Avocado sunblotch viroid reveal differences in the folding of plus and minus RNA strands.
23960173	10.1261/rna.038497.113	2013	Y	PMC3854529	Annealing to sequences within the primer binding site loop promotes an HIV-1 RNA conformation favoring RNA dimerization and packag
24831544	10.1093/nar/gku424	2014	Y	PMC4081064	Importance of the RNA secondary structure for the relative accumulation of clustered viral microRNAs.
22685659	10.1155/2012/530754	2012	Y	PMC3362945	Probing Retroviral and Retrotransposon Genome Structures: The "SHAPE" of Things to Come.
23286327	10.1021/bi300756s	2013	N	PMC3558531	Statistical analysis of SHAPE-directed RNA secondary structure modeling.
21850044	10.1038/nrg3049	2011	N	PMC3858389	Understanding the transcriptome through RNA structure.
22759654	10.1186/1471-2164-13-s4-s6	2012	Y	PMC3303743	Evaluating our ability to predict the structural disruption of RNA by SNPs.
23986591	10.1128/jvi.01529-13	2013	N	PMC3807363	Quantifying selection against synonymous mutations in HIV-1 env evolution.
24623442	10.1128/jvi.03277-13	2014	N	PMC4093898	An immature retroviral RNA genome resembles a kinetically trapped intermediate state.
23527582	10.1111/febs.12257	2013	N		Mapping the interactions of selected antibiotics and their Cu2+ complexes with the antigenomic δ ribozyme.
25394412	10.1186/s12977-014-0096-6	2014	Y	PMC4264320	Structural basis of genomic RNA (gRNA) dimerization and packaging determinants of mouse mammary tumor virus (MMTV).
22475022	10.1021/ja2104075	2012	N	PMC4337229	The mechanisms of RNA SHAPE chemistry.
22126209	10.1021/ja2070945	2011	N	PMC3241870	Femtomole SHAPE reveals regulatory structures in the authentic XMRV RNA genome.
24011432	10.1186/1471-2105-14-269	2013	Y	PMC3871798	Efficient alignment of RNA secondary structures using sparse dynamic programming.
22561372	10.1093/nar/gks370	2012	Y	PMC3413155	A twist in the tail: SHAPE mapping of long-range interactions and structural rearrangements of RNA elements involved in HCV replic
21531920	10.1261/rna.2563511	2011	N	PMC3096047	Solution structure of RNase P RNA.
23717202	10.1371/journal.ppat.1003363	2013	Y	PMC3662671	Global organization of a positive-strand RNA virus genome.
21965531	10.1093/nar/gkr773	2011	Y	PMC3239176	Simplified RNA secondary structure mapping by automation of SHAPE data analysis.
21349877	10.1093/nar/gkr044	2011	Y	PMC3130255	The initial U3 snoRNA:pre-rRNA base pairing interaction required for pre-18S rRNA folding revealed by in vivo chemical probing.
22852530	10.1021/ja304027m	2012	N	PMC3425954	Fingerprinting noncanonical and tertiary RNA structures by differential SHAPE reactivity.
21726370	10.1111/j.1364-3703.2010.00703.x	2011	N	PMC3256235	Mapping studies of the Peach latent mosaic viroid reveal novel structural features.
23316814	10.1021/bi300755u	2013	N	PMC3578230	Principles for understanding the accuracy of SHAPE-directed RNA structure modeling.
21752927	10.1261/rna.2640111	2011	N	PMC3162334	Correlating SHAPE signatures with three-dimensional RNA structures.
24304541	10.3390/ijms141223672	2013	Y	PMC3876070	Tackling structures of long noncoding RNAs.
21546549	10.1093/nar/gkr252	2011	Y	PMC3159445	SHAPE analysis of the FIV Leader RNA reveals a structural switch potentially controlling viral packaging and genome dimerization.
23091593	10.1371/journal.pone.0045160	2012	Y	PMC3473038	Integrating chemical footprinting data into RNA secondary structure prediction.
24766159	10.1021/bi5003426	2014	Y	PMC4033625	Standardization of RNA chemical mapping experiments.
25205807	10.1073/pnas.1407306111	2014	N	PMC4183288	Single-molecule correlated chemical probing of RNA.
25462342	10.1016/j.virol.2014.11.001	2015	Y	PMC4280293	SHAPE analysis of the RNA secondary structure of the Mouse Hepatitis Virus 5' untranslated region and N-terminal nsp1 coding seque
22287623	10.1093/nar/gks009	2012	Y	PMC3378861	RNA folding with soft constraints: reconciliation of probing data and thermodynamic secondary structure prediction.
21842868	10.1021/bi200524n	2011	N	PMC3172344	Understanding the errors of SHAPE-directed RNA structure modeling.
24144333	10.1021/jp408530w	2013	N	PMC3946555	Isosteric and nonisosteric base pairs in RNA motifs: molecular dynamics and bioinformatics study of the sarcin-ricin internal loop
21325405	10.1128/jvi.02211-10	2011	N	PMC3126251	Regulation of foamy virus protease activity by viral RNA: a novel and unique mechanism among retroviruses.
23895365	10.1021/ja406162z	2013	N		Lanthanide cofactors accelerate DNA-catalyzed synthesis of branched RNA.
25320869	10.1021/bi501051k	2014	N		Probing viral genomic structure: alternative viewpoints and alternative structures for satellite tobacco mosaic virus RNA.
23163801	10.1021/ja305636u	2012	N	PMC4427051	New models of Tetrahymena telomerase RNA from experimentally derived constraints and modeling.
25200078	10.1093/nar/gku815	2014	Y	PMC4231735	Snapshots of pre-rRNA structural flexibility reveal eukaryotic 40S assembly dynamics at nucleotide resolution.
25163983	10.7554/elife.03656	2014	Y	PMC4142337	RNA-guided assembly of Rev-RRE nuclear export complexes.
21615079	10.1021/ar200051h	2011	N	PMC3177967	Exploring RNA structural codes with SHAPE chemistry.
23332747	10.1016/j.cell.2012.12.019	2013	N		Riboswitch control of aminoglycoside antibiotic resistance.
24631585	10.1016/j.bbagrm.2014.02.019	2014	N		An aminoglycoside sensing riboswitch controls the expression of aminoglycoside resistance acetyltransferase and adenyltransferases
24895857	10.1146/annurev-biophys-051013-022950	2014	N	PMC5541781	Computational analysis of conserved RNA secondary structure in transcriptomes and genomes.
23558785	10.1038/nprot.2013.045	2013	N		Genome-wide mapping of RNA structure using nuclease digestion and high-throughput sequencing.
23880830	10.4161/rna.25757	2013	N	PMC3817147	Riboswitch control of induction of aminoglycoside resistance acetyl and adenyl-transferases.
24376038	10.1093/bioinformatics/btt757	2014	N		Computational identification of protein binding sites on RNAs using high-throughput RNA structure-probing data.
22913637	10.1021/bi3008802	2012	N	PMC3448840	Quantitative dimethyl sulfate mapping for automated RNA secondary structure inference.
23966409	10.1128/jvi.01560-13	2013	N	PMC3807356	Global RNA structure analysis of poliovirus identifies a conserved RNA structure involved in viral replication and infectivity.
24785264	10.4161/rna.28826	2014	Y	PMC4152360	Computational modeling of RNA 3D structures, with the aid of experimental restraints.
21233221	10.1261/rna.2458811	2011	N	PMC3039150	The roles of S1 RNA-binding domains in Rrp5's interactions with pre-rRNA.
23614526	10.1021/bi4001535	2013	N	PMC3673720	Long-range architecture in a viral RNA genome.
23873958	10.1093/nar/gkt632	2013	Y	PMC3794592	HCV IRES interacts with the 18S rRNA to activate the 40S ribosome for subsequent steps of translation initiation.
24590258	10.1016/j.bbagrm.2014.02.014	2014	N	PMC4148472	The purine riboswitch as a model system for exploring RNA biology and chemistry.
24816551	10.1016/j.bbagrm.2014.04.022	2014	N	PMC4958404	The T box riboswitch: A novel regulatory RNA that utilizes tRNA as its ligand.
24769284	10.1016/j.bbagrm.2014.04.015	2014	N		Metabolite-binding ribozymes.
26933401		2013	Y	PMC4763459	Inverse RNA folding solution based on multi-objective genetic algorithm and Gibbs sampling method.
23914314	10.4161/mge.25060	2013	Y	PMC3681743	Influence of RNA structural elements on Ty1 retrotransposition.
25342998	10.1186/1759-8753-5-25	2014	Y	PMC4167309	Molecular characterization of a new member of the lariat capping twin-ribozyme introns.
24768306	10.1016/j.chembiol.2014.03.007	2014	N	PMC4057041	Validating fragment-based drug discovery for biological RNAs: lead fragments bind and remodel the TPP riboswitch specifically.
23301545	10.1111/j.1365-2893.2012.01629.x	2013	N		RNA aptamer-mediated interference of HCV replication by targeting the CRE-5BSL3.2 domain.
22750417	10.1016/j.jsb.2012.06.008	2012	N	PMC3466382	A model for the structure of satellite tobacco mosaic virus.
23914307	10.1080/21553769.2012.761163	2012	Y	PMC3725660	Twins, quadruplexes, and more: functional aspects of native and engineered RNA self-assembly <i>in vivo.</i>
25538139	10.15252/msb.20145524	2014	Y	PMC4300493	Causal signals between codon bias, mRNA structure, and the efficiency of translation and elongation.
24798078	10.1016/j.bbagrm.2014.04.020	2014	Y	PMC4316175	The K-turn motif in riboswitches and other RNA species.
22243942	10.1111/j.1364-3703.2011.00776.x	2012	N	PMC6638829	The use of a combination of computer-assisted structure prediction and SHAPE probing to elucidate the secondary structures of five
23802546	10.1111/mmi.12308	2013	N		Differential control of Salmonella heat shock operons by structured mRNAs.
23595083	10.4161/rna.24482	2013	N	PMC4111729	Thermozymes: Synthetic RNA thermometers based on ribozyme activity.
24657524	10.1016/j.bbagrm.2014.03.006	2014	N		Temperature-driven differential gene expression by RNA thermosensors.
23683072	10.1111/jam.12257	2013	N		pCGR2 copy number depends on the par locus that forms a ParC-ParB-DNA partition complex in Corynebacterium glutamicum.
21678902	10.1021/ar200035g	2011	N		The dynamic nature of RNA as key to understanding riboswitch mechanisms.
21645857	10.1016/j.str.2011.03.013	2011	N	PMC3113551	The cap-binding translation initiation factor, eIF4E, binds a pseudoknot in a viral cap-independent translation element.
24009312	10.1093/hmg/ddt427	2014	N	PMC3869355	Small RNAs derived from lncRNA RNase MRP have gene-silencing activity relevant to human cartilage-hair hypoplasia.
24742935	10.1261/rna.043232.113	2014	Y	PMC4024637	Non-nearest-neighbor dependence of stability for group III RNA single nucleotide bulge loops.
24926888	10.1021/bi5004926	2014	Y	PMC4089884	Structure and dynamics of the HIV-1 frameshift element RNA.
24583553	10.1016/j.bbagrm.2014.02.012	2014	N	PMC4643838	Themes and variations in riboswitch structure and function.
22696641	10.1128/jvi.00121-12	2012	N	PMC3416163	Biochemical analysis of the complex between the tetrameric export adapter protein Rec of HERV-K/HML-2 and the responsive RNA eleme
25088144	10.1016/j.cell.2014.07.017	2014	N	PMC4153367	Single-cell phenotyping within transparent intact tissue through whole-body clearing.
22383561	10.1073/pnas.1116269109	2012	N	PMC3311331	Identification of a cis-acting element that localizes mRNA to synapses.
23431409	10.1261/rna.037028.112	2013	N	PMC3677267	Specific contacts between protein S4 and ribosomal RNA are required at multiple stages of ribosome assembly.
23300665	10.1371/journal.pone.0052414	2012	Y	PMC3531468	Crumple: a method for complete enumeration of all possible pseudoknot-free RNA secondary structures.
23500045	10.1016/j.ymeth.2013.02.017	2013	N		In-line probing of RNA G-quadruplexes.
22192063	10.1021/ja2093508	2012	N		Automated RNA structure prediction uncovers a kink-turn linker in double glycine riboswitches.
21917852	10.1093/nar/gkr733	2012	Y	PMC3258135	Direct structural analysis of modified RNA by fluorescent in-line probing.
24675274	10.1016/j.virusres.2014.03.019	2014	N		On the nucleotide composition and structure of retroviral RNA genomes.
24124015	10.1002/biot.201300018	2013	Y	PMC4033574	The centrality of RNA for engineering gene expression.
25234928	10.1261/rna.041913.113	2014	Y	PMC4201820	NoFold: RNA structure clustering without folding or alignment.
24500840	10.1002/alr.21295	2014	N		Expression of protease-activated receptors in allergic fungal rhinosinusitis.
25246655	10.1261/rna.045948.114	2014	Y	PMC4201828	Diverse self-association properties within a family of phage packaging RNAs.
22877864	10.1093/bioinformatics/bts488	2012	N		PPfold 3.0: fast RNA secondary structure prediction using phylogeny and auxiliary data.
23421536	10.1111/sji.12033	2013	N		Stimulation of naïve monocytes and PBMCs with coagulation proteases results in thrombin-mediated and PAR-1-dependent cytokine rele
23093724	10.1261/rna.034751.112	2012	N	PMC3504671	Kinetic analysis of pre-ribosome structure in vivo.
